담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
건설과,군포시 소하천 점용료 등 징수 조례,2022-01-13,제1조,검토 필요,소하천정비법,제22조,내용변경,「소하천정비법」 제22조 개정 내용을 반영하여 이 조례 제1조를 검토·정비,2019-12-10,2024-01-16
건설과,군포시 소하천 점용료 등 징수 조례,2022-01-13,제2조,검토 필요,소하천정비법,제22조,내용변경,「소하천정비법」 제22조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,2019-12-10,2024-01-16
건설과,군포시 소하천 점용료 등 징수 조례,2022-01-13,제2조,검토 필요,소하천정비법,제14조,내용변경,「소하천정비법」 제14조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,2020-12-31,2025-10-01
건설과,군포시 소하천 점용료 등 징수 조례,2022-01-13,제2조,검토 필요,소하천정비법,제22조,내용변경,「소하천정비법」 제22조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,2019-12-10,2024-01-16
건설과,군포시 소하천 점용료 등 징수 조례,2022-01-13,제3조,검토 필요,소하천정비법,제22조,내용변경,「소하천정비법」 제22조 개정 내용을 반영하여 이 조례 제3조를 검토·정비,2019-12-10,2024-01-16
건설과,군포시 도로상 동물 찻길 사고 예방 및 사체처리 등에 관한 조례,2025-03-17,제2조,검토 필요,야생생물 보호 및 관리에 관한 법률,제2조,내용변경,「야생생물 보호 및 관리에 관한 법률」 제2조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,2024-01-23,2025-10-01
건설과,군포시 도로상 동물 찻길 사고 예방 및 사체처리 등에 관한 조례,2025-03-17,제2조,검토 필요,자연유산의 보존 및 활용에 관한 법률,제11조,내용변경,「자연유산의 보존 및 활용에 관한 법률」 제11조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,2024-02-13,2024-02-13
건설과,군포시 도로상 동물 찻길 사고 예방 및 사체처리 등에 관한 조례,2025-03-17,제7조,검토 필요,폐기물관리법,제14조,내용변경,「폐기물관리법」 제14조 개정 내용을 반영하여 이 조례 제7조를 검토·정비,2020-05-26,2025-10-01
건설과,군포시 도로점용허가 및 점용료 등 부과ㆍ징수조례,2024-03-19,제12조,검토 필요,도로법 시행령,제105조,내용변경,「도로법 시행령」 제105조 개정 내용을 반영하여 이 조례 제12조를 검토·정비,원제정,2025-02-07
건설과,군포시 도로점용허가 및 점용료 등 부과ㆍ징수조례,2024-03-19,제12조,검토 필요,도로법,제117조,내용변경,「도로법」 제117조 개정 내용을 반영하여 이 조례 제12조를 검토·정비,2024-02-13,2024-02-13
건설과,군포시 도로점용허가 및 점용료 등 부과ㆍ징수조례,2024-03-19,제13조,확인 필요,재해위험 개선사업 및 이주대책에 관한 특별법 시행규칙,제49조,미확인,「재해위험 개선사업 및 이주대책에 관한 특별법 시행규칙」 제49조 소재를 확인(삭제·이동·오기 여부) — 이 조례 제13조,2021-01-12,—
건설과,군포시 기술자문위원회 운영 조례,2020-09-29,제1조,검토 필요,건설기술진흥법 시행령,제19조,내용변경,「건설기술진흥법 시행령」 제19조 개정 내용을 반영하여 이 조례 제1조를 검토·정비,2020-01-07,2026-02-27
건설과,군포시 기술자문위원회 운영 조례,2020-09-29,제3조,검토 필요,시설물 안전관리에 관한 특별법,,제명변경,인용한 「시설물 안전관리에 관한 특별법」이 현행 「시설물의 안전 및 유지관리에 관한 특별법」으로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
건설과,군포시 도로점용 공사장 교통소통대책에 관한 조례,2015-03-23,제6조,검토 필요,도시교통정비 촉진법,제26조,내용변경,「도시교통정비 촉진법」 제26조 개정 내용을 반영하여 이 조례 제6조를 검토·정비,2013-05-22,2019-04-23
건설과,군포시 도로점용 공사장 교통소통대책에 관한 조례,2015-03-23,제12조,검토 필요,도로법,제117조,내용변경,「도로법」 제117조 개정 내용을 반영하여 이 조례 제12조를 검토·정비,원제정,2024-02-13
건설과,군포시 도로복구 원인자부담금 징수 조례,2018-04-20,제2조,검토 필요,도로법,제2조,내용변경,「도로법」 제2조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,원제정,2025-12-02
건설과,군포시 도로상 맨홀 등 작업구의 정비 지원에 관한 조례,2025-05-08,제2조,검토 필요,도로법,제2조,내용변경,「도로법」 제2조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,원제정,2025-12-02
건설과,군포시 가로등ㆍ보안등ㆍ공원등 설치 및 유지관리에 관한 조례,2024-12-10,제4조,확인 필요,도로안전시설 설치 및 관리지침(조명시설 편),,법령미해결,"「도로안전시설 설치 및 관리지침(조명시설 편)」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제4조 인용 정비",—,—
건설과,군포시 도로관리심의회 설치 조례,2020-09-29,제1조,확인 필요,도로법시행령,제24조의8,미확인,「도로법시행령」 제24조의8 소재를 확인(삭제·이동·오기 여부) — 이 조례 제1조 (덧붙여 「도로법시행령」처럼 꺽쇠 서식으로 정정),2020-08-28,—
건설과,군포시 보도구역 안 횡단차도 설치에 관한 조례,2018-10-08,제1조,서식 정정,도로법,제31조,서식,"(서식만 정비) ""도로법 제31조""를 ""「도로법」 제31조""로 정정 — 내용 변경은 없음 (이 조례 제1조)",2018-09-14,2026-06-03
건설과,군포시 보도구역 안 횡단차도 설치에 관한 조례,2018-10-08,제1조,서식 정정,도로법,제64조,서식,"(서식만 정비) ""도로법 제64조""를 ""「도로법」 제64조""로 정정 — 내용 변경은 없음 (이 조례 제1조)",2018-09-14,2026-06-03

※ 자동 분석 초안 — 누락 및 오류가 있을 수 있음. 정비 여부는 담당자가 조례 원문과 현행 법령을 직접 확인해 최종 판단하시기 바랍니다.
