담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
건축과,군포시 건축 조례,2025-03-17,제5조,실질 검토,건축법 시행령,제6조의2,내용변경,「건축법 시행령」 제6조의2 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비,2022-01-18,2025-08-26
건축과,군포시 건축 조례,2025-03-17,제17조,실질 검토,건축법,제22조,내용변경,「건축법」 제22조 개정 내용을 반영하여 이 조례 제17조을(를) 검토·정비,2024-01-16,2025-08-26
건축과,군포시 건축 조례,2025-03-17,제20조,실질 검토,건축법,제22조,내용변경,「건축법」 제22조 개정 내용을 반영하여 이 조례 제20조을(를) 검토·정비,2024-01-16,2025-08-26
건축과,군포시 건축 조례,2025-03-17,제22조의2,실질 검토,건축사법,제19조의3,내용변경,「건축사법」 제19조의3 개정 내용을 반영하여 이 조례 제22조의2을(를) 검토·정비,2017-12-26,2025-10-01
건축과,군포시 건축 조례,2025-03-17,제23조,실질 검토,건축법,제11조,내용변경,「건축법」 제11조 개정 내용을 반영하여 이 조례 제23조을(를) 검토·정비,2023-12-26,2025-08-26
건축과,군포시 건축 조례,2025-03-17,제23조,실질 검토,건축법,제22조,내용변경,「건축법」 제22조 개정 내용을 반영하여 이 조례 제23조을(를) 검토·정비,2024-01-16,2025-08-26
건축과,군포시 건축 조례,2025-03-17,제29조,실질 검토,엔지니어링산업 진흥법,제31조,내용변경,「엔지니어링산업 진흥법」 제31조 개정 내용을 반영하여 이 조례 제29조을(를) 검토·정비,2013-03-23,2025-12-02
건축과,군포시 건축물관리 조례,2022-08-12,제4조,실질 검토,의료법,,제명변경,인용한 「의료법」이(가) 현행 「공공보건의료에 관한 법률」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
건축과,군포시 건축물관리 조례,2022-08-12,제4조,실질 검토,다중이용업소의 안전관리에 관한 특별법 시행령,제2조,내용변경,「다중이용업소의 안전관리에 관한 특별법 시행령」 제2조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비,2022-03-15,2023-12-12
건축과,군포시 건축물관리 조례,2022-08-12,제4조,실질 검토,영화 및 비디오물의 진흥에 관한 법률,제2조,내용변경,「영화 및 비디오물의 진흥에 관한 법률」 제2조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비,2015-05-18,2023-10-31
건축과,군포시 건축물관리 조례,2022-08-12,제6조,실질 검토,도시 및 주거환경정비법,제2조,내용변경,「도시 및 주거환경정비법」 제2조 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비,2021-04-13,2026-03-05
건축과,군포시 건축물관리 조례,2022-08-12,제8조,실질 검토,도시 및 주거환경정비법,제2조,내용변경,「도시 및 주거환경정비법」 제2조 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비,2021-04-13,2026-03-05
건축과,군포시 건축물관리 조례,2022-08-12,제10조,실질 검토,건축법,제87조의2,내용변경,「건축법」 제87조의2 개정 내용을 반영하여 이 조례 제10조을(를) 검토·정비,2022-06-10,2022-06-10
건축과,군포시 건축물관리 조례,2022-08-12,제10조,실질 검토,건축물관리법,제11조,내용변경,「건축물관리법」 제11조 개정 내용을 반영하여 이 조례 제10조을(를) 검토·정비,2019-04-30,2022-11-15
건축과,군포시 녹색건축물 조성 지원 조례,2017-07-11,제2조,실질 검토,녹색건축물 조성 지원법,제2조,내용변경,「녹색건축물 조성 지원법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2016-01-19,2024-02-20
건축과,군포시 녹색건축물 조성 지원 조례,2017-07-11,제2조,실질 검토,신에너지 및 재생에너지 개발·이용·보급 촉진법,제2조,내용변경,「신에너지 및 재생에너지 개발·이용·보급 촉진법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2014-01-21,2019-01-15
건축과,군포시 녹색건축물 조성 지원 조례,2017-07-11,제9조,실질 검토,녹색건축물 조성 지원법,제16조,내용변경,「녹색건축물 조성 지원법」 제16조 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비,2016-01-19,2019-04-30
건축과,군포시 녹색건축물 조성 지원 조례,2017-07-11,제9조,실질 검토,녹색건축물 조성 지원법,제17조,내용변경,「녹색건축물 조성 지원법」 제17조 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비,2016-01-19,2024-02-20
건축과,군포시 옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 조례,2025-12-10,제11조,실질 검토,옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 법률 시행령,제28조,내용변경,「옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 법률 시행령」 제28조 개정 내용을 반영하여 이 조례 제11조을(를) 검토·정비,2017-12-29,2025-12-16
건축과,군포시 옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 조례,2025-12-10,제15조,실질 검토,민원 처리에 관한 법률 시행령,제21조,내용변경,「민원 처리에 관한 법률 시행령」 제21조 개정 내용을 반영하여 이 조례 제15조을(를) 검토·정비,원제정,2026-05-06
건축과,군포시 옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 조례,2025-12-10,제21조,실질 검토,지방자치단체를 당사자로 하는 계약에 관한 법률 시행령,제25조,내용변경,「지방자치단체를 당사자로 하는 계약에 관한 법률 시행령」 제25조 개정 내용을 반영하여 이 조례 제21조을(를) 검토·정비,2025-07-08,2026-05-19
건축과,군포시 소규모 공동주택 관리에 관한 지원 조례,2022-08-12,제2조,실질 검토,건축법,제11조,내용변경,「건축법」 제11조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2021-08-10,2025-08-26
건축과,군포시 소규모 공동주택 관리에 관한 지원 조례,2022-08-12,제4조,실질 검토,건축법,제11조,내용변경,「건축법」 제11조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비,2021-08-10,2025-08-26
건축과,군포시 시민의 안전한 생활환경 지원을 위한 공사장 관리 조례,2021-04-26,제2조,실질 검토,건축법,제2조,내용변경,「건축법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2020-04-07,2022-11-15
건축과,군포시 시민의 안전한 생활환경 지원을 위한 공사장 관리 조례,2021-04-26,제2조,실질 검토,도로법,제2조,내용변경,「도로법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,원제정,2025-12-02
건축과,군포시 건축 조례 시행규칙,2016-05-16,제3조,실질 검토,지방공무원법,제31조,내용변경,「지방공무원법」 제31조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비,2015-12-29,2026-04-21
건축과,군포시 친환경 소재 현수막 사용 촉진 및 재활용 활성화에 관한 조례,2024-07-09,제3조,실질 검토,환경정책기본법,제4조,내용변경,「환경정책기본법」 제4조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비,2021-01-05,2025-10-01
