담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
위생자원과,군포시 식품진흥기금 설치 및 운용 조례,2021-04-26,제1조,검토 필요,식품위생법,제89조,내용변경,「식품위생법」 제89조 개정 내용을 반영하여 이 조례 제1조를 검토·정비,2018-03-13,2025-04-01
위생자원과,군포시 식품진흥기금 설치 및 운용 조례,2021-04-26,제2조,검토 필요,건강기능식품에 관한 법률,제4조,내용변경,「건강기능식품에 관한 법률」 제4조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,원제정,2024-01-02
위생자원과,군포시 식품진흥기금 설치 및 운용 조례,2021-04-26,제2조,검토 필요,식품위생법,제47조,내용변경,「식품위생법」 제47조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,2021-01-01,2025-10-01
위생자원과,군포시 식품진흥기금 설치 및 운용 조례,2021-04-26,제3조,검토 필요,건강기능식품에 관한 법률,제37조,내용변경,「건강기능식품에 관한 법률」 제37조 개정 내용을 반영하여 이 조례 제3조를 검토·정비,2020-03-24,2024-01-02
위생자원과,군포시 식품진흥기금 설치 및 운용 조례,2021-04-26,제3조,검토 필요,식품 등의 표시·광고에 관한 법률,제20조,내용변경,「식품 등의 표시·광고에 관한 법률」 제20조 개정 내용을 반영하여 이 조례 제3조를 검토·정비,2020-03-24,2024-01-02
위생자원과,군포시 식품진흥기금 설치 및 운용 조례,2021-04-26,제3조,검토 필요,식품위생법,제83조,내용변경,「식품위생법」 제83조 개정 내용을 반영하여 이 조례 제3조를 검토·정비,2020-12-29,2024-01-23
위생자원과,군포시 식품진흥기금 설치 및 운용 조례,2021-04-26,제4조,검토 필요,건강기능식품에 관한 법률,제37조,내용변경,「건강기능식품에 관한 법률」 제37조 개정 내용을 반영하여 이 조례 제4조를 검토·정비,2020-03-24,2024-01-02
위생자원과,군포시 식품진흥기금 설치 및 운용 조례,2021-04-26,제5조,검토 필요,식품위생법,제89조,내용변경,「식품위생법」 제89조 개정 내용을 반영하여 이 조례 제5조를 검토·정비,2018-03-13,2025-04-01
위생자원과,군포시 식품진흥기금 설치 및 운용 조례,2021-04-26,제15조,검토 필요,건강기능식품에 관한 법률 시행령,제2조,내용변경,「건강기능식품에 관한 법률 시행령」 제2조 개정 내용을 반영하여 이 조례 제15조를 검토·정비,2017-01-31,2024-12-31
위생자원과,"군포시 음식물류 폐기물의 발생억제, 수집ㆍ운반 및 재활용 촉진에 관한 조례",2021-07-01,제3조,검토 필요,폐기물관리법,제14조,내용변경,「폐기물관리법」 제14조 개정 내용을 반영하여 이 조례 제3조를 검토·정비,2020-05-26,2025-10-01
위생자원과,"군포시 음식물류 폐기물의 발생억제, 수집ㆍ운반 및 재활용 촉진에 관한 조례",2021-07-01,제5조,검토 필요,폐기물관리법,제14조의3,내용변경,「폐기물관리법」 제14조의3 개정 내용을 반영하여 이 조례 제5조를 검토·정비,원제정,2025-10-01
위생자원과,"군포시 음식물류 폐기물의 발생억제, 수집ㆍ운반 및 재활용 촉진에 관한 조례",2021-07-01,제8조,검토 필요,폐기물관리법 시행규칙,제16조의2,내용변경,「폐기물관리법 시행규칙」 제16조의2 개정 내용을 반영하여 이 조례 제8조를 검토·정비,2021-04-30,2025-10-01
위생자원과,"군포시 음식물류 폐기물의 발생억제, 수집ㆍ운반 및 재활용 촉진에 관한 조례",2021-07-01,제11조,검토 필요,폐기물관리법,제68조,내용변경,「폐기물관리법」 제68조 개정 내용을 반영하여 이 조례 제11조를 검토·정비,2019-11-26,2025-10-01
위생자원과,"군포시 음식물류 폐기물의 발생억제, 수집ㆍ운반 및 재활용 촉진에 관한 조례",2021-07-01,제20조,검토 필요,폐기물관리법,제68조,내용변경,「폐기물관리법」 제68조 개정 내용을 반영하여 이 조례 제20조를 검토·정비,2019-11-26,2025-10-01
위생자원과,군포시 자원의 절약과 재활용촉진에 관한 조례,2017-04-01,제3조,검토 필요,자원의 절약과 재활용촉진에 관한 법률,제7조,내용변경,「자원의 절약과 재활용촉진에 관한 법률」 제7조 개정 내용을 반영하여 이 조례 제3조를 검토·정비,2016-05-29,2025-11-11
위생자원과,군포시 자원의 절약과 재활용촉진에 관한 조례,2017-04-01,제4조,검토 필요,자원의 절약과 재활용촉진에 관한 법률 시행령,제8조,내용변경,「자원의 절약과 재활용촉진에 관한 법률 시행령」 제8조 개정 내용을 반영하여 이 조례 제4조를 검토·정비,2014-07-21,2025-10-01
위생자원과,군포시 자원의 절약과 재활용촉진에 관한 조례,2017-04-01,제4조,검토 필요,자원의 절약과 재활용촉진에 관한 법률 시행규칙,제3조의2,내용변경,「자원의 절약과 재활용촉진에 관한 법률 시행규칙」 제3조의2 개정 내용을 반영하여 이 조례 제4조를 검토·정비,2013-03-23,2025-10-01
