담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
환경과,군포시 경유자동차 및 건설기계 저공해 촉진 및 지원 조례,2021-04-26,제1조,검토 필요,대기환경보전법,제58조,내용변경,「대기환경보전법」 제58조 개정 내용을 반영하여 이 조례 제1조를 검토·정비,2021-04-13,2025-10-01
환경과,군포시 경유자동차 및 건설기계 저공해 촉진 및 지원 조례,2021-04-26,제1조,검토 필요,대기관리권역의 대기환경개선에 관한 특별법,제26조,내용변경,「대기관리권역의 대기환경개선에 관한 특별법」 제26조 개정 내용을 반영하여 이 조례 제1조를 검토·정비,2020-05-26,2025-10-01
환경과,군포시 경유자동차 및 건설기계 저공해 촉진 및 지원 조례,2021-04-26,제2조,검토 필요,대기관리권역의 대기환경개선에 관한 특별법,제2조,내용변경,「대기관리권역의 대기환경개선에 관한 특별법」 제2조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,원제정,2025-10-01
환경과,군포시 경유자동차 및 건설기계 저공해 촉진 및 지원 조례,2021-04-26,제2조,검토 필요,대기환경보전법,제60조,내용변경,「대기환경보전법」 제60조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,2019-04-02,2025-10-01
환경과,군포시 경유자동차 및 건설기계 저공해 촉진 및 지원 조례,2021-04-26,제2조,검토 필요,대기환경보전법,제48조,내용변경,「대기환경보전법」 제48조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,2019-04-02,2025-10-01
환경과,군포시 경유자동차 및 건설기계 저공해 촉진 및 지원 조례,2021-04-26,제3조,검토 필요,대기환경보전법,제58조,내용변경,「대기환경보전법」 제58조 개정 내용을 반영하여 이 조례 제3조를 검토·정비,2021-04-13,2025-10-01
환경과,군포시 경유자동차 및 건설기계 저공해 촉진 및 지원 조례,2021-04-26,제3조,검토 필요,대기환경보전법,제2조,내용변경,「대기환경보전법」 제2조 개정 내용을 반영하여 이 조례 제3조를 검토·정비,2019-04-02,2025-10-01
환경과,군포시 경유자동차 및 건설기계 저공해 촉진 및 지원 조례,2021-04-26,제5조,검토 필요,대기관리권역의 대기환경개선에 관한 특별법,제26조,내용변경,「대기관리권역의 대기환경개선에 관한 특별법」 제26조 개정 내용을 반영하여 이 조례 제5조를 검토·정비,2020-05-26,2025-10-01
환경과,군포시 경유자동차 및 건설기계 저공해 촉진 및 지원 조례,2021-04-26,제7조,검토 필요,대기환경보전법,제58조,내용변경,「대기환경보전법」 제58조 개정 내용을 반영하여 이 조례 제7조를 검토·정비,2021-04-13,2025-10-01
환경과,군포시 화학물질 안전관리에 관한 조례,2022-04-25,제4조,검토 필요,화학물질관리법,제6조,내용변경,「화학물질관리법」 제6조 개정 내용을 반영하여 이 조례 제4조를 검토·정비,원제정,2025-10-01
환경과,군포시 화학물질 안전관리에 관한 조례,2022-04-25,제16조,검토 필요,화학물질관리법 시행규칙,제30조,내용변경,「화학물질관리법 시행규칙」 제30조 개정 내용을 반영하여 이 조례 제16조를 검토·정비,2020-09-29,2025-08-07
환경과,군포시 화학물질 안전관리에 관한 조례,2022-04-25,제16조,검토 필요,화학물질관리법,제12조,내용변경,「화학물질관리법」 제12조 개정 내용을 반영하여 이 조례 제16조를 검토·정비,2017-11-28,2025-10-01
환경과,군포시 화학물질 안전관리에 관한 조례,2022-04-25,제16조,검토 필요,화학물질관리법,제23조의3,내용변경,「화학물질관리법」 제23조의3 개정 내용을 반영하여 이 조례 제16조를 검토·정비,원제정,2025-10-01
환경과,군포시 화학물질 안전관리에 관한 조례,2022-04-25,제16조,검토 필요,화학물질관리법,제10조,내용변경,「화학물질관리법」 제10조 개정 내용을 반영하여 이 조례 제16조를 검토·정비,원제정,2025-10-01
환경과,군포시 화학물질 안전관리에 관한 조례,2022-04-25,제16조,검토 필요,화학물질관리법,제11조,내용변경,「화학물질관리법」 제11조 개정 내용을 반영하여 이 조례 제16조를 검토·정비,2020-05-26,2025-10-01
환경과,군포시 화학물질 안전관리에 관한 조례,2022-04-25,제17조,검토 필요,화학물질관리법,제23조의4,내용변경,「화학물질관리법」 제23조의4 개정 내용을 반영하여 이 조례 제17조를 검토·정비,원제정,2025-10-01
환경과,군포시 화학물질 안전관리에 관한 조례,2022-04-25,제21조,검토 필요,화학물질관리법,제23조,내용변경,「화학물질관리법」 제23조 개정 내용을 반영하여 이 조례 제21조를 검토·정비,원제정,2025-10-01
환경과,군포시 화학물질 안전관리에 관한 조례,2022-04-25,제22조,검토 필요,화학물질관리법,제11조의2,내용변경,「화학물질관리법」 제11조의2 개정 내용을 반영하여 이 조례 제22조를 검토·정비,원제정,2025-10-01
환경과,군포시 멸종위기 맹꽁이 등 야생생물 보호 및 생물다양성 증진을 위한 조례,2020-03-16,제6조,검토 필요,생물다양성 보전 및 이용에 관한 법률,제7조,내용변경,「생물다양성 보전 및 이용에 관한 법률」 제7조 개정 내용을 반영하여 이 조례 제6조를 검토·정비,2019-12-10,2025-10-01
환경과,군포시 멸종위기 맹꽁이 등 야생생물 보호 및 생물다양성 증진을 위한 조례,2020-03-16,제7조,검토 필요,자연환경보전법,제30조,내용변경,「자연환경보전법」 제30조 개정 내용을 반영하여 이 조례 제7조를 검토·정비,2013-03-22,2025-10-01
환경과,군포시 멸종위기 맹꽁이 등 야생생물 보호 및 생물다양성 증진을 위한 조례,2020-03-16,제9조,검토 필요,야생생물 보호 및 관리에 관한 법률,제33조,내용변경,「야생생물 보호 및 관리에 관한 법률」 제33조 개정 내용을 반영하여 이 조례 제9조를 검토·정비,2019-11-26,2025-10-01
환경과,군포시 멸종위기 맹꽁이 등 야생생물 보호 및 생물다양성 증진을 위한 조례,2020-03-16,제9조,검토 필요,야생생물 보호 및 관리에 관한 법률,제6조,내용변경,「야생생물 보호 및 관리에 관한 법률」 제6조 개정 내용을 반영하여 이 조례 제9조를 검토·정비,2014-03-24,2025-11-11
환경과,군포시 멸종위기 맹꽁이 등 야생생물 보호 및 생물다양성 증진을 위한 조례,2020-03-16,제15조,검토 필요,지방공무원법,제31조,내용변경,「지방공무원법」 제31조 개정 내용을 반영하여 이 조례 제15조를 검토·정비,2018-10-16,2026-04-21
환경과,군포시 실내공기질 관리에 관한 조례,2018-01-05,제7조,검토 필요,실내공기질 관리법,제12조,내용변경,「실내공기질 관리법」 제12조 개정 내용을 반영하여 이 조례 제7조를 검토·정비,2015-12-22,2025-10-01
환경과,군포시 실내공기질 관리에 관한 조례,2018-01-05,제8조,검토 필요,실내공기질 관리법,제9조,내용변경,「실내공기질 관리법」 제9조 개정 내용을 반영하여 이 조례 제8조를 검토·정비,2016-12-27,2025-10-01
환경과,군포시 실내공기질 관리에 관한 조례,2018-01-05,제9조,검토 필요,실내공기질 관리법,제9조의2,내용변경,「실내공기질 관리법」 제9조의2 개정 내용을 반영하여 이 조례 제9조를 검토·정비,원제정,2025-10-01
환경과,군포시 실내공기질 관리에 관한 조례,2018-01-05,제11조,검토 필요,실내공기질 관리법,제10조,내용변경,「실내공기질 관리법」 제10조 개정 내용을 반영하여 이 조례 제11조를 검토·정비,2015-12-22,2025-10-01
환경과,군포시 대기 및 수질환경 관련법규 위반사업장 공개에 관한 조례,2023-05-01,제2조,검토 필요,대기환경보전법,제23조,내용변경,「대기환경보전법」 제23조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,2021-04-13,2025-10-01
환경과,군포시 대기 및 수질환경 관련법규 위반사업장 공개에 관한 조례,2023-05-01,제2조,검토 필요,물환경보전법,제33조,내용변경,「물환경보전법」 제33조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,2018-10-16,2025-10-01
환경과,군포시 환경친화적 자동차의 보급 및 이용 활성화를 위한 조례,2022-08-12,제2조,검토 필요,환경친화적 자동차의 개발 및 보급 촉진에 관한 법률,제2조,내용변경,「환경친화적 자동차의 개발 및 보급 촉진에 관한 법률」 제2조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,2021-07-27,2025-10-01
환경과,군포시 환경친화적 자동차의 보급 및 이용 활성화를 위한 조례,2022-08-12,제6조,검토 필요,환경친화적 자동차의 개발 및 보급 촉진에 관한 법률,제11조,내용변경,「환경친화적 자동차의 개발 및 보급 촉진에 관한 법률」 제11조 개정 내용을 반영하여 이 조례 제6조를 검토·정비,2013-03-23,2025-10-01
환경과,군포시 녹색제품 구매촉진 조례,2015-10-12,제1조,검토 필요,녹색제품 구매촉진에 관한 법률,제11조,내용변경,「녹색제품 구매촉진에 관한 법률」 제11조 개정 내용을 반영하여 이 조례 제1조를 검토·정비,2012-02-01,2025-10-01
