담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
스마트정보과,군포시 인터넷시스템 설치 및 운영 조례,2020-03-16,제2조,검토 필요,민원 처리에 관한 법률,제2조,내용변경,「민원 처리에 관한 법률」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2017-07-26,2022-07-12
스마트정보과,군포시 인터넷시스템 설치 및 운영 조례,2020-03-16,제2조,검토 필요,개인정보 보호법,제2조,내용변경,「개인정보 보호법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2020-02-04,2023-03-14
스마트정보과,군포시 인터넷시스템 설치 및 운영 조례,2020-03-16,제8조,검토 필요,전자정부법 시행령,제14조,내용변경,「전자정부법 시행령」 제14조 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비,2014-07-28,2022-07-11
스마트정보과,군포시 인터넷시스템 설치 및 운영 조례,2020-03-16,제8조,검토 필요,공공기관의 정보공개에 관한 법률시행령,제6조,내용변경,「공공기관의 정보공개에 관한 법률시행령」 제6조 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비,2016-12-13,2021-06-22
스마트정보과,군포시 인터넷시스템 설치 및 운영 조례,2020-03-16,제9조,검토 필요,전자정부법,제9조,내용변경,「전자정부법」 제9조 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비,2017-10-24,2025-07-08
스마트정보과,군포시 인터넷시스템 설치 및 운영 조례,2020-03-16,제18조,검토 필요,개인정보 보호법,제18조,내용변경,「개인정보 보호법」 제18조 개정 내용을 반영하여 이 조례 제18조을(를) 검토·정비,2020-02-04,2023-03-14
스마트정보과,군포시 인터넷시스템 설치 및 운영 조례,2020-03-16,제20조,확인 필요,국가 정보보안 기본지침,,법령미해결,"「국가 정보보안 기본지침」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제20조 인용 정비",—,—
스마트정보과,군포시 인터넷시스템 설치 및 운영 조례,2020-03-16,제20조,확인 필요,군포시 정보보안 기본지침,,지자체행정규칙,"「군포시 정보보안 기본지침」는 지자체 자체 행정규칙 — 국가법령정보에 없어 자동 대조 불가. 자치법규정보시스템(ELIS, www.elis.go.kr)에서 최신 원문을 직접 확인해 이 조례 제20조 인용을 정비",—,—
스마트정보과,군포시 공간정보체계 구축 및 이용에 관한 조례,2023-12-12,제2조,검토 필요,도로법,제2조,내용변경,「도로법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,원제정,2025-12-02
스마트정보과,군포시 공간정보체계 구축 및 이용에 관한 조례,2023-12-12,제2조,검토 필요,도로법,제108조,내용변경,「도로법」 제108조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2017-01-17,2024-02-13
스마트정보과,군포시 공간정보체계 구축 및 이용에 관한 조례,2023-12-12,제5조의2,검토 필요,국가공간정보 기본법,제21조,내용변경,「국가공간정보 기본법」 제21조 개정 내용을 반영하여 이 조례 제5조의2을(를) 검토·정비,2013-03-23,2025-10-01
스마트정보과,군포시 공간정보체계 구축 및 이용에 관한 조례,2023-12-12,제6조,검토 필요,국가공간정보 기본법,제34조,내용변경,「국가공간정보 기본법」 제34조 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비,2021-03-16,2024-03-19
스마트정보과,군포시 지능정보화 조례,2024-12-10,제11조,검토 필요,지능정보화 기본법,제46조,내용변경,「지능정보화 기본법」 제46조 개정 내용을 반영하여 이 조례 제11조을(를) 검토·정비,2022-07-21,2026-01-22
스마트정보과,군포시 지능정보화 조례,2024-12-10,제12조,검토 필요,지능정보화 기본법,제49조,내용변경,「지능정보화 기본법」 제49조 개정 내용을 반영하여 이 조례 제12조을(를) 검토·정비,2022-07-21,2026-01-22
스마트정보과,군포시 스마트도시 조성 및 운영 조례,2022-04-25,제3조,검토 필요,스마트도시 조성 및 산업진흥 등에 관한 법률,제8조,내용변경,「스마트도시 조성 및 산업진흥 등에 관한 법률」 제8조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비,2018-08-14,2025-12-02
