담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
기획예산실,군포시 적극행정 운영 조례,2023-09-27,제3조,검토 필요,지방공무원 적극행정 운영규정,제10조,내용변경,「지방공무원 적극행정 운영규정」 제10조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비,2022-12-27,2025-12-30
기획예산실,군포시 적극행정 운영 조례,2023-09-27,제3조,검토 필요,지방공무원 적극행정 운영규정,제12조,내용변경,「지방공무원 적극행정 운영규정」 제12조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비,2021-07-27,2025-12-30
기획예산실,군포시 적극행정 운영 조례,2023-09-27,제3조,검토 필요,지방공무원 적극행정 운영규정,제15조,내용변경,「지방공무원 적극행정 운영규정」 제15조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비,2020-08-25,2025-12-30
기획예산실,군포시 적극행정 운영 조례,2023-09-27,제3조,검토 필요,지방공무원 적극행정 운영규정,제17조,내용변경,「지방공무원 적극행정 운영규정」 제17조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비,2022-12-27,2025-12-30
기획예산실,군포시 적극행정 운영 조례,2023-09-27,제10조,검토 필요,지방공무원 적극행정 운영규정,제6조,내용변경,「지방공무원 적극행정 운영규정」 제6조 개정 내용을 반영하여 이 조례 제10조을(를) 검토·정비,원제정,2025-12-30
기획예산실,군포시 적극행정 운영 조례,2023-09-27,제12조,검토 필요,지방공무원 적극행정 운영규정,제13조,내용변경,「지방공무원 적극행정 운영규정」 제13조 개정 내용을 반영하여 이 조례 제12조을(를) 검토·정비,2020-08-25,2025-12-30
기획예산실,군포시 적극행정 운영 조례,2023-09-27,제14조,검토 필요,지방공무원 적극행정 운영규정,제16조,내용변경,「지방공무원 적극행정 운영규정」 제16조 개정 내용을 반영하여 이 조례 제14조을(를) 검토·정비,2020-08-25,2025-12-30
기획예산실,군포시 납세자보호에 관한 사무처리 조례,2025-12-10,제1조,검토 필요,지방세기본법 시행령,제51조의2,내용변경,「지방세기본법 시행령」 제51조의2 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비,2024-12-31,2026-02-05
기획예산실,군포시 납세자보호에 관한 사무처리 조례,2025-12-10,제5조,검토 필요,지방공무원 임용령,제34조,내용변경,「지방공무원 임용령」 제34조 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비,2020-09-22,2026-04-07
기획예산실,군포시 납세자보호에 관한 사무처리 조례,2025-12-10,제6조,검토 필요,지방세기본법 시행령,제51조의2,내용변경,「지방세기본법 시행령」 제51조의2 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비,2024-12-31,2026-02-05
기획예산실,군포시장직 인수위원회 설치 및 운영 조례,2022-04-25,제5조,검토 필요,양성평등기본법,제21조,내용변경,「양성평등기본법」 제21조 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비,2020-05-19,2025-10-01
기획예산실,군포시장직 인수위원회 설치 및 운영 조례,2022-04-25,제5조,검토 필요,지방공무원법,제31조,내용변경,「지방공무원법」 제31조 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비,2021-01-12,2026-04-21
기획예산실,군포도시공사 설립 및 운영 조례,2026-01-07,제21조,검토 필요,지방공기업법,제2조,내용변경,「지방공기업법」 제2조 개정 내용을 반영하여 이 조례 제21조을(를) 검토·정비,2025-04-01,2026-03-17
기획예산실,군포시 공모사업 관리 조례,2024-05-15,제2조,검토 필요,공공기관의 운영에 관한 법률,제4조,내용변경,「공공기관의 운영에 관한 법률」 제4조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2020-06-09,2025-10-01
기획예산실,군포시 민간투자사업 심의위원회 설치ㆍ운영에 관한 조례,2025-10-10,제24조,검토 필요,지방자치단체를 당사자로 하는 계약에 관한 법률 시행령,제37조,내용변경,「지방자치단체를 당사자로 하는 계약에 관한 법률 시행령」 제37조 개정 내용을 반영하여 이 조례 제24조을(를) 검토·정비,2025-10-01,2025-12-30
기획예산실,군포시 지방보조금 관리 조례,2023-07-04,제9조,검토 필요,지방자치단체 보조금 관리에 관한 법률 시행령,제9조,내용변경,「지방자치단체 보조금 관리에 관한 법률 시행령」 제9조 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비,원제정,2023-10-04
기획예산실,군포시 규제 신고고객 보호ㆍ서비스헌장 운영 규칙,2014-09-30,제1조,확인 필요,행정서비스헌장규정,,법령미해결,"「행정서비스헌장규정」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제1조 인용 정비",—,—
기획예산실,군포시 발전협의회 설치 및 운영 조례,2020-09-29,,확인 필요,국가균형발전특별법,,법령미해결,"「국가균형발전특별법」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례의 해당 조문 인용 정비",—,—
기획예산실,군포시 규제개혁위원회 설치 및 운영 조례,2023-09-27,제1조,서식 정정,행정규제기본법,제3조,서식,"(서식만 정비) ""행정규제기본법 제3조""를 ""「행정규제기본법」 제3조""로 정정 — 내용 변경은 없음 (이 조례 제1조)",2023-07-11,2023-07-11
기획예산실,군포시 납세자보호에 관한 사무처리 조례 시행규칙,2025-12-10,제12조,서식 정정,지방세기본법,제139조,서식,"(서식만 정비) ""지방세기본법 제139조""를 ""「지방세기본법」 제139조""로 정정 — 내용 변경은 없음 (이 조례 제12조)",2025-11-11,2026-02-05
기획예산실,군포시 납세자보호에 관한 사무처리 조례 시행규칙,2025-12-10,제14조,서식 정정,지방세기본법,제139조,서식,"(서식만 정비) ""지방세기본법 제139조""를 ""「지방세기본법」 제139조""로 정정 — 내용 변경은 없음 (이 조례 제14조)",2025-11-11,2026-02-05
