담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
도시개발과,군포시 공동주택 리모델링 지원에 관한 조례,2023-01-09,제2조,검토 필요,주택법,제49조,,「주택법」 제49조 변경 사항을 검토하여 이 조례 제2조 정비,2020-01-23,2026-02-03
도시개발과,군포시 공동주택 리모델링 지원에 관한 조례,2023-01-09,제2조,검토 필요,건축법,제22조,내용변경,「건축법」 제22조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2020-03-31,2025-08-26
도시개발과,군포시 공동주택 리모델링 지원에 관한 조례,2023-01-09,제2조,확인 필요,주택법,제2조,호미확인,「주택법」 제2조제25호 변경 여부 확인 — 제2조은 조례 시행 이후 개정됐으나 인용한 제25호엔 개정 표기가 없어 변경 여부 불명확(이 조례 제2조),—,2023-12-26
도시개발과,군포시 공동주택 리모델링 지원에 관한 조례,2023-01-09,제4조,검토 필요,부동산 가격공시 및 감정평가에 관한 법률,,제명변경,인용한 「부동산 가격공시 및 감정평가에 관한 법률」이(가) 현행 「부동산 가격공시에 관한 법률」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
도시개발과,군포시 공동주택 리모델링 지원에 관한 조례,2023-01-09,제10조,확인 필요,주택법,제75조,,「주택법」 제75조 소재를 확인(삭제·이동·오기 여부) — 이 조례 제10조,—,2026-08-04
도시개발과,군포시 공동주택 리모델링 지원에 관한 조례,2023-01-09,제11조,확인 필요,주택법,제75조,,「주택법」 제75조 소재를 확인(삭제·이동·오기 여부) — 이 조례 제11조,—,2026-08-04
도시개발과,군포시 공동주택 리모델링 지원에 관한 조례,2023-01-09,제16조,확인 필요,주택법,제68조,,「주택법」 제68조 소재를 확인(삭제·이동·오기 여부) — 이 조례 제16조,—,2026-08-04
도시개발과,군포시 공동주택 리모델링 지원에 관한 조례,2023-01-09,제16조,확인 필요,주택법,제69조,,「주택법」 제69조 소재를 확인(삭제·이동·오기 여부) — 이 조례 제16조,—,2026-08-04
도시개발과,군포시 도시개발 조례,2023-09-27,제4조,검토 필요,도시개발법시행령,제11조,내용변경,「도시개발법시행령」 제11조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비,2013-03-23,2024-07-30
도시개발과,군포시 도시개발 조례,2023-09-27,제4조,검토 필요,도시개발법시행령,제11조,내용변경,「도시개발법시행령」 제11조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비,2013-03-23,2024-07-30
도시개발과,군포시 도시개발 조례,2023-09-27,제8조,검토 필요,지방세법,제112조,내용변경,「지방세법」 제112조 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비,2020-12-29,2025-12-31
도시개발과,군포시 도시재생 활성화 및 지원에 관한 조례,2026-01-07,제12조,확인 필요,군포시 지방공무원 정원 규정,,지자체행정규칙,"「군포시 지방공무원 정원 규정」는 지자체 자체 행정규칙 — 국가법령정보에 없어 자동 대조 불가. 자치법규정보시스템(ELIS, www.elis.go.kr)에서 최신 원문을 직접 확인해 이 조례 제12조 인용을 정비",—,—
도시개발과,군포시 도시재생 활성화 및 지원에 관한 조례,2026-01-07,제19조,검토 필요,도시재생 활성화 및 지원에 관한 특별법,제27조,내용변경,「도시재생 활성화 및 지원에 관한 특별법」 제27조 개정 내용을 반영하여 이 조례 제19조을(를) 검토·정비,2023-06-09,2026-06-02
