담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
세원관리과,군포시 수수료 징수 조례,2022-01-13,제7조,검토 필요,5·18민주유공자예우에 관한 법률,,제명변경,인용한 「5·18민주유공자예우에 관한 법률」이 현행 「5ㆍ18민주유공자예우 및 단체설립에 관한 법률」으로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
세원관리과,군포시 수수료 징수 조례,2022-01-13,제7조,검토 필요,독립유공자예우에 관한 법률,제6조,내용변경,「독립유공자예우에 관한 법률」 제6조 개정 내용을 반영하여 이 조례 제7조를 검토·정비,2016-05-29,2023-03-04
세원관리과,군포시 수수료 징수 조례,2022-01-13,제7조,검토 필요,국가유공자 등 예우 및 지원에 관한 법률,제6조,내용변경,「국가유공자 등 예우 및 지원에 관한 법률」 제6조 개정 내용을 반영하여 이 조례 제7조를 검토·정비,2016-05-29,2023-03-04
세원관리과,군포시 수수료 징수 조례,2022-01-13,제7조,검토 필요,고엽제후유의증 등 환자지원 및 단체설립에 관한 법률,제4조,내용변경,「고엽제후유의증 등 환자지원 및 단체설립에 관한 법률」 제4조 개정 내용을 반영하여 이 조례 제7조를 검토·정비,2021-08-17,2023-03-04
세원관리과,군포시 수수료 징수 조례,2022-01-13,제7조,검토 필요,참전유공자예우 및 단체설립에 관한 법률,제5조,내용변경,「참전유공자예우 및 단체설립에 관한 법률」 제5조 개정 내용을 반영하여 이 조례 제7조를 검토·정비,2016-05-29,2025-09-16
세원관리과,군포시 수수료 징수 조례,2022-01-13,제7조,검토 필요,특수임무유공자 예우 및 단체설립에 관한 법률,제6조,내용변경,「특수임무유공자 예우 및 단체설립에 관한 법률」 제6조 개정 내용을 반영하여 이 조례 제7조를 검토·정비,2015-12-22,2023-03-04
세원관리과,군포시 수수료 징수 조례,2022-01-13,제7조,검토 필요,한부모가족지원법,제5조의2,내용변경,「한부모가족지원법」 제5조의2 개정 내용을 반영하여 이 조례 제7조를 검토·정비,2020-10-20,2023-04-11
세원관리과,군포시 수수료 징수 조례,2022-01-13,제7조,검토 필요,장애인복지법,제32조,내용변경,「장애인복지법」 제32조 개정 내용을 반영하여 이 조례 제7조를 검토·정비,2017-12-19,2025-04-22
세원관리과,군포시 수수료 징수 조례,2022-01-13,제7조,검토 필요,보훈보상대상자 지원에 관한 법률,제2조,내용변경,「보훈보상대상자 지원에 관한 법률」 제2조 개정 내용을 반영하여 이 조례 제7조를 검토·정비,2020-03-24,2023-03-04
세원관리과,군포시 수수료 징수 조례,2022-01-13,제7조,검토 필요,의사상자 등 예우 및 지원에 관한 법률,제5조,내용변경,「의사상자 등 예우 및 지원에 관한 법률」 제5조 개정 내용을 반영하여 이 조례 제7조를 검토·정비,2010-01-18,2024-01-23
세원관리과,군포시 금고의 지정 및 운영에 관한 조례,2020-09-29,제1조,검토 필요,지방회계법 시행령,제48조,내용변경,「지방회계법 시행령」 제48조 개정 내용을 반영하여 이 조례 제1조를 검토·정비,2018-10-30,2025-12-09
세원관리과,군포시 수입증지 조례,2021-07-01,제7조,검토 필요,회계관계직원 등의 책임에 관한 법률,제7조,내용변경,「회계관계직원 등의 책임에 관한 법률」 제7조 개정 내용을 반영하여 이 조례 제7조를 검토·정비,원제정,2025-10-01
