담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
수도과,군포시 수도시설 원인자 부담금 산정ㆍ징수 등에 관한 조례 시행규칙,2016-12-30,제4조,검토 필요,지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙,제6조,내용변경,「지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙」 제6조 개정 내용을 반영하여 이 조례 제4조를 검토·정비,2014-11-19,2021-01-07
수도과,군포시 수도시설 원인자부담금 산정ㆍ징수 등에 관한 조례,2021-01-01,제5조,검토 필요,지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙,제6조,내용변경,「지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙」 제6조 개정 내용을 반영하여 이 조례 제5조를 검토·정비,2017-07-26,2021-01-07
수도과,군포시 절수 설비 등 설치 활성화 지원에 관한 조례,2025-05-08,제1조,검토 필요,수도법,제15조,내용변경,「수도법」 제15조 개정 내용을 반영하여 이 조례 제1조를 검토·정비,2021-08-17,2025-10-01
수도과,군포시 지방공기업 수도사업회계 규칙,2021-04-26,제7조,검토 필요,법인세법시행령,제76조,내용변경,「법인세법시행령」 제76조 개정 내용을 반영하여 이 조례 제7조를 검토·정비 (덧붙여 「법인세법시행령」처럼 꺽쇠 서식으로 정정),2014-02-21,2025-12-30
수도과,군포시 수도급수 조례 시행규칙,2026-01-07,제31조,확인 필요,주택법,제47조,,「주택법」 제47조 소재를 확인(삭제·이동·오기 여부) — 이 조례 제31조,—,2026-08-04
수도과,군포시 수도급수 조례 시행규칙,2026-01-07,제31조,확인 필요,주택법,제51조,,「주택법」 제51조 소재를 확인(삭제·이동·오기 여부) — 이 조례 제31조,—,2026-08-04
