담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
산본보건지소,군포시 모유수유시설 설치 및 지원에 관한 조례,2015-12-31,제1조,검토 필요,모자보건법,제3조,내용변경,「모자보건법」 제3조 개정 내용을 반영하여 이 조례 제1조를 검토·정비,원제정,2021-12-21
산본보건지소,군포시 모유수유시설 설치 및 지원에 관한 조례,2015-12-31,제1조,검토 필요,모자보건법,제10조의3,내용변경,「모자보건법」 제10조의3 개정 내용을 반영하여 이 조례 제1조를 검토·정비,원제정,2021-12-21
산본보건지소,군포시 모유수유시설 설치 및 지원에 관한 조례,2015-12-31,제1조,검토 필요,양성평등기본법,제25조,내용변경,「양성평등기본법」 제25조 개정 내용을 반영하여 이 조례 제1조를 검토·정비,원제정,2021-04-20
산본보건지소,군포시 한방난임치료 지원에 관한 조례,2022-04-25,제1조,검토 필요,모자보건법,제11조,내용변경,「모자보건법」 제11조 개정 내용을 반영하여 이 조례 제1조를 검토·정비,2015-12-22,2024-02-06
산본보건지소,군포시 한방난임치료 지원에 관한 조례,2022-04-25,제1조,검토 필요,저출산·고령사회기본법,제10조,내용변경,「저출산·고령사회기본법」 제10조 개정 내용을 반영하여 이 조례 제1조를 검토·정비,2021-12-14,2023-12-26
산본보건지소,군포시 한방난임치료 지원에 관한 조례,2022-04-25,제2조,확인 필요,한의학육성법,,법령미해결,"「한의학육성법」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제2조 인용 정비",—,—
산본보건지소,군포시 건전한 음주문화 환경조성 및 지원에 관한 조례,2024-07-09,제1조,검토 필요,국민건강증진법,제8조,내용변경,「국민건강증진법」 제8조 개정 내용을 반영하여 이 조례 제1조를 검토·정비,2020-12-29,2025-03-18
산본보건지소,군포시 건전한 음주문화 환경조성 및 지원에 관한 조례,2024-07-09,제4조,검토 필요,어린이놀이시설 안전관리법,제2조,내용변경,「어린이놀이시설 안전관리법」 제2조 개정 내용을 반영하여 이 조례 제4조를 검토·정비,2020-12-22,2026-02-27
산본보건지소,군포시 응급의료 지원에 관한 조례,2019-07-09,제5조,검토 필요,응급의료에 관한 법률,제47조의2,내용변경,「응급의료에 관한 법률」 제47조의2 개정 내용을 반영하여 이 조례 제5조를 검토·정비,2018-12-11,2023-08-16
산본보건지소,군포시 응급의료 지원에 관한 조례,2019-07-09,제8조,검토 필요,응급의료에관한 법률,제14조,내용변경,「응급의료에관한 법률」 제14조 개정 내용을 반영하여 이 조례 제8조를 검토·정비,2019-01-15,2024-09-20
산본보건지소,군포시 걷기 활성화 지원에 관한 조례,2019-12-31,제1조,검토 필요,국민건강증진법,제6조,내용변경,「국민건강증진법」 제6조 개정 내용을 반영하여 이 조례 제1조를 검토·정비,2019-12-03,2019-12-03
산본보건지소,군포시 금연환경 조성 및 간접흡연 피해방지 조례 시행규칙,2015-05-22,제5조,검토 필요,국민건강증진법 시행령,제16조의4,내용변경,「국민건강증진법 시행령」 제16조의4 개정 내용을 반영하여 이 조례 제5조를 검토·정비,2015-01-01,2026-03-19
산본보건지소,군포시 암환자 가발구입비 지원 조례,2027-01-01,제9조,확인 필요,암환자에 대한 의료비 지원사업,,법령미해결,"「암환자에 대한 의료비 지원사업」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제9조 인용 정비",—,—
산본보건지소,군포시 임신ㆍ출생축하금 지원에 관한 조례,2026-01-07,제3조,서식 정정,다문화가족지원법,제2조,서식,"(서식만 정비) ""다문화가족지원법 제2조""를 ""「다문화가족지원법」 제2조""로 정정 — 내용 변경은 없음 (이 조례 제3조)",2015-12-01,2015-12-01
