담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
주택정책과,군포시 노후계획도시 정비 및 지원에 관한 조례,2024-10-02,제13조,검토 필요,도시 및 주거환경정비법 시행령,제33조,내용변경,「도시 및 주거환경정비법 시행령」 제33조 개정 내용을 반영하여 이 조례 제13조을(를) 검토·정비,2024-03-19,2024-12-17
주택정책과,군포시 노후계획도시 정비 및 지원에 관한 조례,2024-10-02,제13조,검토 필요,노후계획도시 정비 및 지원에 관한 특별법 시행령,제16조,내용변경,「노후계획도시 정비 및 지원에 관한 특별법 시행령」 제16조 개정 내용을 반영하여 이 조례 제13조을(를) 검토·정비,원제정,2025-06-25
주택정책과,군포시 노후계획도시 정비 및 지원에 관한 조례,2024-10-02,제14조,검토 필요,노후계획도시 정비 및 지원에 관한 특별법 시행령,제16조,내용변경,「노후계획도시 정비 및 지원에 관한 특별법 시행령」 제16조 개정 내용을 반영하여 이 조례 제14조을(를) 검토·정비,원제정,2025-06-25
주택정책과,군포시 노후계획도시 정비 및 지원에 관한 조례,2024-10-02,제15조,검토 필요,노후계획도시 정비 및 지원에 관한 특별법 시행령,제17조,내용변경,「노후계획도시 정비 및 지원에 관한 특별법 시행령」 제17조 개정 내용을 반영하여 이 조례 제15조을(를) 검토·정비,원제정,2026-04-21
주택정책과,군포시 노후계획도시 정비 및 지원에 관한 조례,2024-10-02,제16조,검토 필요,노후계획도시 정비 및 지원에 관한 특별법 시행령,제18조,내용변경,「노후계획도시 정비 및 지원에 관한 특별법 시행령」 제18조 개정 내용을 반영하여 이 조례 제16조을(를) 검토·정비,원제정,2026-04-21
주택정책과,군포시 노후계획도시 정비 및 지원에 관한 조례,2024-10-02,제16조,검토 필요,노후계획도시 정비 및 지원에 관한 특별법 시행령,제18조,내용변경,「노후계획도시 정비 및 지원에 관한 특별법 시행령」 제18조 개정 내용을 반영하여 이 조례 제16조을(를) 검토·정비,원제정,2026-04-21
주택정책과,군포시 노후계획도시 정비 및 지원에 관한 조례,2024-10-02,제16조,검토 필요,노후계획도시 정비 및 지원에 관한 특별법,제15조,내용변경,「노후계획도시 정비 및 지원에 관한 특별법」 제15조 개정 내용을 반영하여 이 조례 제16조을(를) 검토·정비,원제정,2026-02-03
주택정책과,군포시 노후계획도시 정비 및 지원에 관한 조례,2024-10-02,제20조,검토 필요,노후계획도시 정비 및 지원에 관한 특별법,제22조,내용변경,「노후계획도시 정비 및 지원에 관한 특별법」 제22조 개정 내용을 반영하여 이 조례 제20조을(를) 검토·정비,원제정,2026-02-03
주택정책과,군포시 노후계획도시 정비 및 지원에 관한 조례,2024-10-02,제20조,검토 필요,노후계획도시 정비 및 지원에 관한 특별법,제22조,내용변경,「노후계획도시 정비 및 지원에 관한 특별법」 제22조 개정 내용을 반영하여 이 조례 제20조을(를) 검토·정비,원제정,2026-02-03
주택정책과,군포시 도시ㆍ주거환경정비기금 설치 및 운용 조례,2022-08-12,제1조,검토 필요,도시 및 주거환경정비법,제126조,내용변경,「도시 및 주거환경정비법」 제126조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비,2021-04-13,2024-12-03
주택정책과,군포시 도시ㆍ주거환경정비기금 설치 및 운용 조례,2022-08-12,제3조,검토 필요,지방세법,제112조,내용변경,「지방세법」 제112조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비,2020-12-29,2025-12-31
주택정책과,군포시 도시ㆍ주거환경정비기금 설치 및 운용 조례,2022-08-12,제4조,검토 필요,도시 및 주거환경정비법,제126조,내용변경,「도시 및 주거환경정비법」 제126조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비,2021-04-13,2024-12-03
주택정책과,군포시 도시ㆍ주거환경정비기금 설치 및 운용 조례,2022-08-12,제4조,검토 필요,도시 및 주거환경정비법,제78조,내용변경,「도시 및 주거환경정비법」 제78조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비,2017-08-09,2025-01-31
주택정책과,군포시 주거 정비 지원센터 설립 및 운영 조례,2023-01-09,제2조,검토 필요,도시 및 주거환경정비법,제2조,내용변경,「도시 및 주거환경정비법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2021-04-13,2026-03-05
주택정책과,군포시 주거 정비 지원센터 설립 및 운영 조례,2023-01-09,제2조,검토 필요,주택법,제2조,,「주택법」 제2조 변경 사항을 검토하여 이 조례 제2조 정비,2021-12-21,2023-12-26
주택정책과,군포시 주거복지 지원 조례,2021-04-26,제7조,검토 필요,주거기본법 시행령,제13조,내용변경,「주거기본법 시행령」 제13조 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비,2020-12-08,2026-05-26
주택정책과,군포시 주거복지 지원 조례,2021-04-26,제7조,검토 필요,주거기본법 시행령,제13조,내용변경,「주거기본법 시행령」 제13조 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비,2020-12-08,2026-05-26
주택정책과,군포시 주택 조례,2021-07-01,제3조,검토 필요,주택건설기준 등에 관한 규정,제55조의2,내용변경,「주택건설기준 등에 관한 규정」 제55조의2 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비,2021-01-12,2026-06-30
주택정책과,군포시 주택 조례,2021-07-01,제4조,검토 필요,민간임대주택에 관한 특별법,제5조,내용변경,「민간임대주택에 관한 특별법」 제5조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비,2020-08-18,2024-12-03
