담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
문화예술과,군포시 노래연습장업자 교육에 관한 조례,2021-07-01,제1조,실질 검토,음악산업진흥에 관한 법률,제11조,내용변경,「음악산업진흥에 관한 법률」 제11조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비,2020-02-18,2023-08-08
문화예술과,군포시 노래연습장업자 교육에 관한 조례,2021-07-01,제2조,실질 검토,음악산업진흥에 관한 법률,제11조,내용변경,「음악산업진흥에 관한 법률」 제11조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2020-02-18,2023-08-08
문화예술과,군포시 노래연습장업자 교육에 관한 조례,2021-07-01,제3조,실질 검토,음악산업진흥에 관한 법률,제11조,내용변경,「음악산업진흥에 관한 법률」 제11조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비,2020-02-18,2023-08-08
문화예술과,군포시 노래연습장업자 교육에 관한 조례,2021-07-01,제4조,실질 검토,음악산업진흥에 관한 법률,제32조,내용변경,「음악산업진흥에 관한 법률」 제32조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비,2008-02-29,2023-08-08
문화예술과,군포시 노래연습장업자 교육에 관한 조례,2021-07-01,제10조,실질 검토,음악산업진흥에 관한 법률,제36조,내용변경,「음악산업진흥에 관한 법률」 제36조 개정 내용을 반영하여 이 조례 제10조을(를) 검토·정비,2020-02-18,2023-08-08
문화예술과,군포시 예술인 기회소득 지급에 관한 조례,2023-07-04,제2조,실질 검토,예술인 복지법,제2조,내용변경,「예술인 복지법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2023-03-21,2023-08-08
문화예술과,군포시 예술인 기회소득 지급에 관한 조례,2023-07-04,제5조,실질 검토,예술인 복지법,제8조,내용변경,「예술인 복지법」 제8조 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비,원제정,2023-08-08
문화예술과,군포시 관광 진흥 조례,2021-04-26,제2조,실질 검토,관광진흥법,제2조,내용변경,「관광진흥법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2014-05-28,2025-04-08
문화예술과,군포시 국어 바르게 쓰기 조례,2021-04-26,제6조,실질 검토,국어기본법,제14조,내용변경,「국어기본법」 제14조 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비,2017-03-21,2021-06-15
문화예술과,군포시 문화도시 조성 및 지원 조례,2021-09-30,제11조,실질 검토,지역문화진흥법,제6조,내용변경,「지역문화진흥법」 제6조 개정 내용을 반영하여 이 조례 제11조을(를) 검토·정비,2021-05-18,2022-01-18
문화예술과,군포시 문화예술회관 운영 조례,2023-12-12,제12조,실질 검토,소방시설설치유지 및 안전관리에 관한 법률,,제명변경,인용한 「소방시설설치유지 및 안전관리에 관한 법률」이(가) 현행 「소방시설 설치 및 관리에 관한 법률」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
문화예술과,군포시 생활문화센터 설치 및 운영 조례,2021-07-01,제4조,실질 검토,관공서의 공휴일에 관한 규정,제2조,내용변경,「관공서의 공휴일에 관한 규정」 제2조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비,2017-10-17,2026-04-30
문화예술과,군포시 시립예술단체 구성 및 운영 조례 시행규칙,2021-07-01,제6조,실질 검토,공무원임용시험령,제34조,내용변경,「공무원임용시험령」 제34조 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비,2020-09-22,2023-08-01
문화예술과,군포시 장애예술인 문화예술 활동 지원 조례,2022-12-14,제2조,실질 검토,문화예술진흥법,제2조,내용변경,「문화예술진흥법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2022-09-27,2022-09-27
문화예술과,군포시 지명위원회 조례,2024-01-08,제1조,실질 검토,공간정보의 구축 및 관리 등에 관한 법률 시행령,제88조의2,내용변경,「공간정보의 구축 및 관리 등에 관한 법률 시행령」 제88조의2 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비,원제정,2024-09-19
