담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
노인장애인과,군포시립노인요양센터 설치 및 운영 조례,2017-07-11,제2조,실질 검토,노인장기요양보험법,제15조,내용변경,「노인장기요양보험법」 제15조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2016-05-29,2020-03-31
노인장애인과,군포시립노인요양센터 설치 및 운영 조례,2017-07-11,제2조,실질 검토,노인장기요양보험법,제23조,내용변경,「노인장기요양보험법」 제23조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2015-12-29,2024-12-20
노인장애인과,군포시립노인요양센터 설치 및 운영 조례,2017-07-11,제4조,실질 검토,요양보험법,,제명변경,인용한 「요양보험법」이(가) 현행 「노인장기요양보험법」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
노인장애인과,군포시립노인요양센터 설치 및 운영 조례,2017-07-11,제5조,실질 검토,요양보험법,,제명변경,인용한 「요양보험법」이(가) 현행 「노인장기요양보험법」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
노인장애인과,군포시립노인요양센터 설치 및 운영 조례,2017-07-11,제6조,실질 검토,요양보험법,,제명변경,인용한 「요양보험법」이(가) 현행 「노인장기요양보험법」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
노인장애인과,군포시립노인요양센터 설치 및 운영 조례,2017-07-11,제6조,실질 검토,요양보험법 시행규칙,,제명변경,인용한 「요양보험법 시행규칙」이(가) 현행 「노인장기요양보험법 시행규칙」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
노인장애인과,군포시립노인요양센터 설치 및 운영 조례,2017-07-11,제7조,실질 검토,요양보험법,,제명변경,인용한 「요양보험법」이(가) 현행 「노인장기요양보험법」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
노인장애인과,군포시립노인요양센터 설치 및 운영 조례,2017-07-11,제8조,실질 검토,사회복지사업법,제34조,내용변경,「사회복지사업법」 제34조 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비,2016-02-03,2019-01-15
노인장애인과,군포시립노인요양센터 설치 및 운영 조례,2017-07-11,제8조,실질 검토,사회복지사업법 시행규칙,제21조,내용변경,「사회복지사업법 시행규칙」 제21조 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비,2012-08-03,2020-01-03
노인장애인과,군포시립노인요양센터 설치 및 운영 조례,2017-07-11,제9조,실질 검토,사회복지사업법 시행규칙,제21조의2,내용변경,「사회복지사업법 시행규칙」 제21조의2 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비,2016-08-03,2019-06-12
