담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
감사실,군포시 공직자윤리위원회 구성과 운영에 관한 조례,2023-07-04,제2조,검토 필요,공직자윤리법,제3조,내용변경,「공직자윤리법」 제3조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2021-04-01,2023-12-26
감사실,군포시 공직자윤리위원회 구성과 운영에 관한 조례,2023-07-04,제2조,검토 필요,공직자윤리법 시행령,제3조,내용변경,「공직자윤리법 시행령」 제3조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2021-09-24,2025-10-01
감사실,군포시 공직자윤리위원회 구성과 운영에 관한 조례,2023-07-04,제6조,검토 필요,공직자윤리법,제8조,내용변경,「공직자윤리법」 제8조 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비,2019-12-03,2023-12-26
감사실,군포시 공직자윤리위원회 구성과 운영에 관한 조례,2023-07-04,제6조,검토 필요,공직자윤리법,제8조의2,내용변경,「공직자윤리법」 제8조의2 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비,2019-12-03,2023-12-26
감사실,군포시 공직자윤리위원회 구성과 운영에 관한 조례,2023-07-04,제9조,검토 필요,공직자윤리법,제17조,내용변경,「공직자윤리법」 제17조 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비,2022-01-04,2025-08-14
감사실,군포시 시민감사관 구성 및 운영 조례,2019-04-18,제2조,검토 필요,공공기관의 정보공개에 관한 법률,제9조,내용변경,「공공기관의 정보공개에 관한 법률」 제9조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,원제정,2020-12-22
감사실,군포시 시민감사관 구성 및 운영 조례,2019-04-18,제3조,검토 필요,공공  기관의 운영에 관한 법률,제4조,내용변경,「공공  기관의 운영에 관한 법률」 제4조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비,2008-02-29,2025-10-01
감사실,군포시 시민감사관 구성 및 운영 조례,2019-04-18,제3조,검토 필요,지방공무원법,제31조,내용변경,「지방공무원법」 제31조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비,2018-10-16,2026-04-21
감사실,군포시 시민고충처리위원회(옴부즈만) 구성 및 운영에 관한 조례,2024-10-02,제4조,검토 필요,권익위법,,제명변경,인용한 「권익위법」이(가) 현행 「부패방지 및 국민권익위원회의 설치와 운영에 관한 법률」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
감사실,군포시 시민고충처리위원회(옴부즈만) 구성 및 운영에 관한 조례,2024-10-02,제8조,검토 필요,지방공무원법,제31조,내용변경,「지방공무원법」 제31조 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비,2024-03-19,2026-04-21
감사실,군포시 시민고충처리위원회(옴부즈만) 구성 및 운영에 관한 조례,2024-10-02,제9조,검토 필요,권익위법,,제명변경,인용한 「권익위법」이(가) 현행 「부패방지 및 국민권익위원회의 설치와 운영에 관한 법률」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
감사실,군포시 자체감사 규칙,2022-01-13,제22조,검토 필요,지방공무원 적극행정 운영규정,제12조,내용변경,「지방공무원 적극행정 운영규정」 제12조 개정 내용을 반영하여 이 조례 제22조을(를) 검토·정비,2021-07-27,2025-12-30
감사실,군포시 자체감사 규칙,2022-01-13,제22조,확인 필요,군포시 적극행정 면책 및 공무원 경고 등 처분에 관한 규정,,지자체행정규칙,"「군포시 적극행정 면책 및 공무원 경고 등 처분에 관한 규정」는 지자체 자체 행정규칙 — 국가법령정보에 없어 자동 대조 불가. 자치법규정보시스템(ELIS, www.elis.go.kr)에서 최신 원문을 직접 확인해 이 조례 제22조 인용을 정비",—,—
감사실,군포시 공무원 행동강령 시행규칙,2025-03-17,제13조의3,검토 필요,공공기관의 운영에 관한 법률,제4조,내용변경,「공공기관의 운영에 관한 법률」 제4조 개정 내용을 반영하여 이 조례 제13조의3을(를) 검토·정비,2020-06-09,2025-10-01
