담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
교육체육과,군포시 장애인 평생교육 지원 조례,2023-05-01,제1조,실질 검토,평생교육법,제5조,내용변경,「평생교육법」 제5조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비,2021-06-08,2021-06-08
교육체육과,군포시 장애인 평생교육 지원 조례,2023-05-01,제1조,실질 검토,평생교육법,제20조의2,내용변경,「평생교육법」 제20조의2 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비,2021-12-09,2026-05-12
교육체육과,군포시 장애인 평생교육 지원 조례,2023-05-01,제2조,실질 검토,평생교육법,제20조의2,내용변경,「평생교육법」 제20조의2 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2021-12-09,2026-05-12
교육체육과,군포시 장애인 평생교육 지원 조례,2023-05-01,제6조,실질 검토,평생교육법,제20조의2,내용변경,「평생교육법」 제20조의2 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비,2021-12-09,2026-05-12
교육체육과,군포시 전통무예 진흥 및 지원 조례,2021-01-15,제2조,실질 검토,전통무예진흥법,제2조,내용변경,「전통무예진흥법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2020-12-10,2026-05-12
교육체육과,군포시 전통무예 진흥 및 지원 조례,2021-01-15,제3조,실질 검토,전통무예진흥법,제3조,내용변경,「전통무예진흥법」 제3조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비,2020-12-10,2026-05-12
교육체육과,군포시 전통무예 진흥 및 지원 조례,2021-01-15,제4조,실질 검토,전통무예진흥법,제3조,내용변경,「전통무예진흥법」 제3조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비,2020-12-10,2026-05-12
교육체육과,군포청소년교육특구 운영에 관한 조례,2021-04-26,제1조,실질 검토,지역특화발전특구에 대한 규제특례법,,제명변경,인용한 「지역특화발전특구에 대한 규제특례법」이(가) 현행 「규제자유특구 및 지역특화발전특구에 관한 규제특례법」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
교육체육과,군포청소년교육특구 운영에 관한 조례,2021-04-26,제2조,실질 검토,지역특화발전특구에 대한 규제특례법,,제명변경,인용한 「지역특화발전특구에 대한 규제특례법」이(가) 현행 「규제자유특구 및 지역특화발전특구에 관한 규제특례법」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
교육체육과,군포청소년교육특구 운영에 관한 조례,2021-04-26,제16조,실질 검토,지역특화발전특구에 대한 규제특례법,,제명변경,인용한 「지역특화발전특구에 대한 규제특례법」이(가) 현행 「규제자유특구 및 지역특화발전특구에 관한 규제특례법」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
교육체육과,군포시 방사능으로부터 안전한 식재료 공급 지원 조례,2014-05-20,제2조,실질 검토,초·중등교육법,제2조,내용변경,「초·중등교육법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,원제정,2019-12-03
교육체육과,군포시 방사능으로부터 안전한 식재료 공급 지원 조례,2014-05-20,제2조,실질 검토,영유아보육법,제2조,내용변경,「영유아보육법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2011-06-07,2024-02-06
교육체육과,군포시청 직장운동경기부 설치 및 운영 조례,2023-12-12,제8조,실질 검토,지방공무원법,제31조,내용변경,「지방공무원법」 제31조 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비,2022-12-27,2026-04-21
교육체육과,군포시청 직장운동경기부 설치 및 운영 조례,2023-12-12,제9조,실질 검토,지방공무원법,제31조,내용변경,「지방공무원법」 제31조 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비,2022-12-27,2026-04-21
교육체육과,군포시 안양ㆍ군포ㆍ의왕ㆍ과천 공동급식지원센터 설립 및 운영 조례,2019-03-15,제8조,실질 검토,지방공무원법,제31조,내용변경,「지방공무원법」 제31조 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비,2018-10-16,2026-04-21
