담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
세정과,군포시 시세 조례,2021-04-26,제4조,검토 필요,지방세법,제53조,내용변경,「지방세법」 제53조 개정 내용을 반영하여 이 조례 제4조를 검토·정비,2015-12-29,2023-03-14
세정과,군포시 시세 조례,2021-04-26,제4조,검토 필요,지방세법,제54조,내용변경,「지방세법」 제54조 개정 내용을 반영하여 이 조례 제4조를 검토·정비,2015-07-24,2023-03-14
세정과,군포시 시세 조례,2021-04-26,제5조,검토 필요,지방세법,제78조,내용변경,「지방세법」 제78조 개정 내용을 반영하여 이 조례 제5조를 검토·정비,원제정,2021-12-28
세정과,군포시 시세 조례,2021-04-26,제14조,검토 필요,지방세법,제112조,내용변경,「지방세법」 제112조 개정 내용을 반영하여 이 조례 제14조를 검토·정비,2020-12-29,2025-12-31
세정과,군포시 시세 감면 조례,2026-04-22,제6조,검토 필요,지방세특례제한법,제75조의2,내용변경,「지방세특례제한법」 제75조의2 개정 내용을 반영하여 이 조례 제6조를 검토·정비,2025-12-31,2025-12-31
세정과,군포시 시세 감면 조례,2026-04-22,제9조,검토 필요,지방세법,제13조,내용변경,「지방세법」 제13조 개정 내용을 반영하여 이 조례 제9조를 검토·정비,2025-12-31,2025-12-31
세정과,군포시 시세 감면 조례,2026-04-22,제12조,검토 필요,지방세특례제한법,제177조의2,내용변경,「지방세특례제한법」 제177조의2 개정 내용을 반영하여 이 조례 제12조를 검토·정비,2025-12-31,2025-12-31
세정과,군포시 시세 조례 시행규칙,2021-04-26,제5조,검토 필요,지방세기본법,제50조,내용변경,「지방세기본법」 제50조 개정 내용을 반영하여 이 조례 제5조를 검토·정비,2019-12-31,2024-12-31
세정과,군포시 시세 조례 시행규칙,2021-04-26,제7조,검토 필요,지방세기본법,제50조,내용변경,「지방세기본법」 제50조 개정 내용을 반영하여 이 조례 제7조를 검토·정비,2019-12-31,2024-12-31
세정과,군포시 시세 조례 시행규칙,2021-04-26,제9조,검토 필요,지방세기본법,제50조,내용변경,「지방세기본법」 제50조 개정 내용을 반영하여 이 조례 제9조를 검토·정비,2019-12-31,2024-12-31
세정과,군포시 지방세 세무조사 운영 규칙,2025-01-01,제10조,검토 필요,신탁법,,제명변경,인용한 「신탁법」이 현행 「공익신탁법」으로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
세정과,군포시 지방세 세무조사 운영 규칙,2025-01-01,제16조,검토 필요,지방세기본법,제83조,내용변경,「지방세기본법」 제83조 개정 내용을 반영하여 이 조례 제16조를 검토·정비,2023-03-14,2026-02-05
세정과,군포시 지방세 고지서 송달에 관한 규칙,2018-10-08,제1조,확인 필요,지방세법시행령,제39조의2,,「지방세법시행령」 제39조의2 소재를 확인(삭제·이동·오기 여부) — 이 조례 제1조 (덧붙여 「지방세법시행령」처럼 꺽쇠 서식으로 정정),—,—

※ 자동 분석 초안 — 누락 및 오류가 있을 수 있음. 정비 여부는 담당자가 조례 원문과 현행 법령을 직접 확인해 최종 판단하시기 바랍니다.
