담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
도시환경과,군포시 농업생산기반시설의 사용허가 사용료 징수 조례,2020-09-29,제1조,실질 검토,농어촌정비법,제23조,내용변경,「농어촌정비법」 제23조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비,2016-12-27,2021-05-18
도시환경과,군포시 농업생산기반시설의 사용허가 사용료 징수 조례,2020-09-29,제1조,실질 검토,농어촌정비법 시행령,제32조,내용변경,「농어촌정비법 시행령」 제32조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비,2017-05-08,2022-05-09
도시환경과,군포시 농업생산기반시설의 사용허가 사용료 징수 조례,2020-09-29,제3조,실질 검토,감정평가 및 감정평가사에 관한 법률,제3조,내용변경,「감정평가 및 감정평가사에 관한 법률」 제3조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비,2020-04-07,2021-07-20
도시환경과,군포시 먹거리 보장 기본 조례,2023-12-12,제1조,실질 검토,농업·농촌 및 식품산업 기본법,제23조의3,내용변경,「농업·농촌 및 식품산업 기본법」 제23조의3 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비,2022-07-05,2026-01-23
도시환경과,군포시 먹거리 보장 기본 조례,2023-12-12,제6조,실질 검토,농업·농촌 및 식품산업 기본법,제23조의3,내용변경,「농업·농촌 및 식품산업 기본법」 제23조의3 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비,2022-07-05,2026-01-23
도시환경과,군포시 먹거리 보장 기본 조례,2023-12-12,제8조,실질 검토,농업·농촌 및 식품산업 기본법,제23조의3,내용변경,「농업·농촌 및 식품산업 기본법」 제23조의3 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비,2022-07-05,2026-01-23
도시환경과,군포시 농촌용수구역 관리에 관한 조례,2023-07-04,제6조,서식 정정,지하수법,제27조,서식,"(서식만 정비) ""지하수법 제27조""를 ""「지하수법」 제27조""로 정정 — 내용 변경은 없음 (이 조례 제6조)",2023-07-04,2025-10-01
