담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
아동청소년과,군포시 청소년육성위원회 등의 설치 및 운영에 관한 조례,2023-01-31,제2조,실질 검토,청소년기본법,제11조,내용변경,「청소년기본법」 제11조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,원제정,2026-04-28
아동청소년과,군포시 청소년육성위원회 등의 설치 및 운영에 관한 조례,2023-01-31,제2조,실질 검토,청소년보호법,제48조,내용변경,「청소년보호법」 제48조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,원제정,2025-10-01
아동청소년과,군포시 청소년육성위원회 등의 설치 및 운영에 관한 조례,2023-01-31,제15조,실질 검토,청소년보호법,제2조,내용변경,「청소년보호법」 제2조 개정 내용을 반영하여 이 조례 제15조을(를) 검토·정비,2018-12-11,2025-10-01
아동청소년과,군포시 청소년육성위원회 등의 설치 및 운영에 관한 조례,2023-01-31,제20조,실질 검토,청소년보호법,제48조,내용변경,「청소년보호법」 제48조 개정 내용을 반영하여 이 조례 제20조을(를) 검토·정비,원제정,2025-10-01
아동청소년과,군포시 학교폭력예방 및 대책에 관한 조례,2020-09-29,제2조,실질 검토,학교폭력예방 및 대책에 관한 법률,제2조,내용변경,「학교폭력예방 및 대책에 관한 법률」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2012-03-21,2025-01-31
아동청소년과,군포시 학교폭력예방 및 대책에 관한 조례,2020-09-29,제2조,실질 검토,초ㆍ중등교육법,제61조,내용변경,「초ㆍ중등교육법」 제61조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,원제정,2025-08-14
아동청소년과,군포시 학교폭력예방 및 대책에 관한 조례,2020-09-29,제2조,확인,학교폭력예방 및 대책에 관한 법률,제61조,미확인,「학교폭력예방 및 대책에 관한 법률」 제61조 소재를 확인(삭제·이동·오기 여부) — 이 조례 제2조,2020-03-01,—
아동청소년과,군포시 학교폭력예방 및 대책에 관한 조례,2020-09-29,제4조,실질 검토,학교폭력예방 및 대책에 관한 법률,제15조,내용변경,「학교폭력예방 및 대책에 관한 법률」 제15조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비,2012-03-21,2023-10-24
아동청소년과,군포시 다함께 돌봄 지원에 관한 조례,2020-09-29,제7조,실질 검토,한부모가족지원법,제5조의2,내용변경,「한부모가족지원법」 제5조의2 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비,2018-01-16,2023-04-11
아동청소년과,군포시 다함께 돌봄 지원에 관한 조례,2020-09-29,제7조,실질 검토,장애인복지법,제2조,내용변경,「장애인복지법」 제2조 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비,2015-06-22,2020-12-29
아동청소년과,군포시 청소년 권리 증진을 위한 조례,2023-01-31,제3조,실질 검토,청소년 보호법,제2조,내용변경,「청소년 보호법」 제2조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비,2018-12-11,2025-10-01
아동청소년과,군포시 청소년 권리 증진을 위한 조례,2023-01-31,제6조,실질 검토,청소년 기본법,제14조,내용변경,「청소년 기본법」 제14조 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비,원제정,2025-10-01
아동청소년과,군포시 지역아동센터 운영 및 지원에 관한 조례,2019-12-13,제4조,실질 검토,아동복지법 시행규칙,제23조,내용변경,「아동복지법 시행규칙」 제23조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비,2015-10-19,2024-07-10
아동청소년과,군포시 청소년시설 설치 및 운영 조례,2025-12-10,제6조,실질 검토,관공서의 공휴일에 관한 규정,제2조,내용변경,「관공서의 공휴일에 관한 규정」 제2조 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비,2017-10-17,2026-04-30
아동청소년과,군포시 아동친화도시 조성에 관한 조례,2022-04-25,"제1조, 제2조",확인,아동의 권리에 관한 협약,,법령미해결,"「아동의 권리에 관한 협약」 제명변경·폐지 여부를 확인하고 이 조례 제1조, 제2조의 인용 법령명을 정정",—,—
아동청소년과,군포시 청소년 보호법 과징금 감경에 관한 조례,2015-03-23,제4조,서식 정비,행정절차법,제27조,서식,"「행정절차법」 제27조 인용을 꺽쇠(「」) 서식으로 정정 (이 조례 제4조) — 내용 변경은 없음, 서식만 정비",2014-11-19,2022-07-12
아동청소년과,군포시 청소년 보호법 과징금 감경에 관한 조례,2015-03-23,제5조,서식 정비,행정절차법,제27조,서식,"「행정절차법」 제27조 인용을 꺽쇠(「」) 서식으로 정정 (이 조례 제5조) — 내용 변경은 없음, 서식만 정비",2014-11-19,2022-07-12
아동청소년과,군포시 청소년재단 설립 및 운영 조례,2026-01-07,제12조,서식 정비,청소년기본법,제30조,서식,"「청소년기본법」 제30조 인용을 꺽쇠(「」) 서식으로 정정 (이 조례 제12조) — 내용 변경은 없음, 서식만 정비",2026-01-02,2026-10-29
