담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
회계과,군포시 공유재산 관리 조례,2025-07-11,제22조,검토 필요,공유재산 및 물품 관리법 시행령,제14조,내용변경,「공유재산 및 물품 관리법 시행령」 제14조 개정 내용을 반영하여 이 조례 제22조를 검토·정비,2023-08-22,2025-09-02
회계과,군포시 공유재산 관리 조례,2025-07-11,제27조,검토 필요,산업입지 및 개발에 관한 법률,제8조,내용변경,「산업입지 및 개발에 관한 법률」 제8조 개정 내용을 반영하여 이 조례 제27조를 검토·정비,2016-12-20,2025-10-01
회계과,군포시 공유재산 관리 조례,2025-07-11,제27조,검토 필요,외국인투자 촉진법,제18조,내용변경,「외국인투자 촉진법」 제18조 개정 내용을 반영하여 이 조례 제27조를 검토·정비,2020-12-22,2025-10-01
회계과,군포시 공유재산 관리 조례,2025-07-11,제28조,검토 필요,벤처기업육성에 관한 특별조치법,,제명변경,인용한 「벤처기업육성에 관한 특별조치법」이 현행 「벤처기업육성에 관한 특별법」으로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
회계과,군포시 공유재산 관리 조례,2025-07-11,제28조,검토 필요,공유재산 및 물품 관리법 시행령,제31조,내용변경,「공유재산 및 물품 관리법 시행령」 제31조 개정 내용을 반영하여 이 조례 제28조를 검토·정비,2022-06-28,2025-09-02
회계과,군포시 공유재산 관리 조례,2025-07-11,제35조,검토 필요,공유재산 및 물품 관리법 시행령,제14조,내용변경,「공유재산 및 물품 관리법 시행령」 제14조 개정 내용을 반영하여 이 조례 제35조를 검토·정비,2023-08-22,2025-09-02
회계과,군포시 공유재산 관리 조례,2025-07-11,제35조,검토 필요,공유재산 및 물품 관리법 시행령,제31조,내용변경,「공유재산 및 물품 관리법 시행령」 제31조 개정 내용을 반영하여 이 조례 제35조를 검토·정비,2022-06-28,2025-09-02
회계과,군포시 공유재산 관리 조례,2025-07-11,제38조,검토 필요,도시 및 주거환경정비법,제2조,내용변경,「도시 및 주거환경정비법」 제2조 개정 내용을 반영하여 이 조례 제38조를 검토·정비,2023-07-18,2026-03-05
회계과,군포시 공유재산 관리 조례,2025-07-11,제39조,검토 필요,산업입지 및 개발에 관한 법률,제8조,내용변경,「산업입지 및 개발에 관한 법률」 제8조 개정 내용을 반영하여 이 조례 제39조를 검토·정비,2016-12-20,2025-10-01
회계과,군포시 공유재산 관리 조례,2025-07-11,제40조,확인 필요,특정건축물정리에 관한 특별조치법,,법령미해결,"「특정건축물정리에 관한 특별조치법」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제40조 인용 정비",—,—
회계과,군포시 공유재산 관리 조례,2025-07-11,제40조,검토 필요,기초연구진흥 및 기술개발지원에 관한 법률,제14조,내용변경,「기초연구진흥 및 기술개발지원에 관한 법률」 제14조 개정 내용을 반영하여 이 조례 제40조를 검토·정비,2025-01-31,2025-01-31
회계과,군포시 지방공무원 여비 조례,2022-01-13,제6조,검토 필요,공용차량 관리 규정,,제명변경,인용한 「공용차량 관리 규정」이 현행 「공무용 차량 관리 규정」으로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
회계과,군포시 지방공무원 여비 조례,2022-01-13,제6조,검토 필요,국가공무원법,제71조,내용변경,「국가공무원법」 제71조 개정 내용을 반영하여 이 조례 제6조를 검토·정비,2021-06-08,2026-06-02
회계과,군포시 지방공무원 여비 조례,2022-01-13,제6조,검토 필요,지방공무원법,제63조,내용변경,「지방공무원법」 제63조 개정 내용을 반영하여 이 조례 제6조를 검토·정비,2021-06-08,2026-06-02
회계과,군포시 지방공무원 여비 조례,2022-01-13,제6조,검토 필요,공무원 여비 규정,제29조,내용변경,「공무원 여비 규정」 제29조 개정 내용을 반영하여 이 조례 제6조를 검토·정비,2014-11-19,2025-12-30
회계과,군포시 지방공무원 여비 조례,2022-01-13,제6조,검토 필요,공무원 여비 규정,제18조,내용변경,「공무원 여비 규정」 제18조 개정 내용을 반영하여 이 조례 제6조를 검토·정비,2021-11-30,2024-07-02
회계과,군포시 지방공무원 여비 조례,2022-01-13,제6조,검토 필요,공무원 여비 규정,제27조,내용변경,「공무원 여비 규정」 제27조 개정 내용을 반영하여 이 조례 제6조를 검토·정비,2017-07-26,2025-12-30
회계과,군포시 지방공무원 여비 조례,2022-01-13,제6조,검토 필요,공무원 여비 규정,제29조,내용변경,「공무원 여비 규정」 제29조 개정 내용을 반영하여 이 조례 제6조를 검토·정비,2014-11-19,2025-12-30
회계과,군포시청과 그 소속기관의 부설주차장 관리조례,2025-05-08,제6조,검토 필요,환경친화적 자동차의 개발 및 보급 촉진에 관한 법률,제2조,내용변경,「환경친화적 자동차의 개발 및 보급 촉진에 관한 법률」 제2조 개정 내용을 반영하여 이 조례 제6조를 검토·정비,2021-07-27,2025-10-01
회계과,군포시청과 그 소속기관의 부설주차장 관리조례,2025-05-08,제6조,검토 필요,대기환경보전법,제2조,내용변경,「대기환경보전법」 제2조 개정 내용을 반영하여 이 조례 제6조를 검토·정비,2025-03-25,2025-10-01
회계과,군포시 보증채무 관리 조례,2018-10-08,제1조,검토 필요,지방재정법,제13조,내용변경,「지방재정법」 제13조 개정 내용을 반영하여 이 조례 제1조를 검토·정비,2014-05-28,2021-01-12
