담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
교통행정과,군포시 어린이 보호구역 및 통학로 교통안전 조례,2021-07-01,제2조,실질 검토,도로교통법,제12조,내용변경,「도로교통법」 제12조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2020-12-22,2024-01-30
교통행정과,군포시 어린이 보호구역 및 통학로 교통안전 조례,2021-07-01,제2조,실질 검토,도로교통법 시행규칙,제14조,내용변경,「도로교통법 시행규칙」 제14조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2017-07-26,2023-06-20
교통행정과,군포시 어린이 보호구역 및 통학로 교통안전 조례,2021-07-01,제2조,실질 검토,학원의 설립ㆍ운영 및 과외교습에 관한 법률,제2조,내용변경,「학원의 설립ㆍ운영 및 과외교습에 관한 법률」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2021-03-23,2023-04-18
교통행정과,군포시 어린이 보호구역 및 통학로 교통안전 조례,2021-07-01,제2조,실질 검토,도로교통법 시행규칙,제14조,내용변경,「도로교통법 시행규칙」 제14조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2017-07-26,2023-06-20
교통행정과,군포시 어린이 보호구역 및 통학로 교통안전 조례,2021-07-01,제2조,실질 검토,초ㆍ중등교육법,제60조의3,내용변경,「초ㆍ중등교육법」 제60조의3 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,원제정,2025-11-11
교통행정과,군포시 어린이 보호구역 및 통학로 교통안전 조례,2021-07-01,제6조,실질 검토,도로법,제2조,내용변경,「도로법」 제2조 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비,원제정,2025-12-02
교통행정과,군포시 어린이 보호구역 및 통학로 교통안전 조례,2021-07-01,,확인,영유아교육법,,법령미해결,「영유아교육법」 제명변경·폐지 여부를 확인하고 이 조례의 해당 조문의 인용 법령명을 정정,—,—
교통행정과,군포시 교통유발부담금 경감 등에 관한 조례,2023-05-01,제2조,서식 정비,자동차관리법,제3조,서식,"「자동차관리법」 제3조 인용을 꺽쇠(「」) 서식으로 정정 (이 조례 제2조) — 내용 변경은 없음, 서식만 정비",2020-06-09,2020-06-09
교통행정과,군포시 교통유발부담금 경감 등에 관한 조례,2023-05-01,제6조,실질 검토,재난 및 안전관리 기본법,제3조,내용변경,「재난 및 안전관리 기본법」 제3조 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비,2021-06-08,2025-01-07
교통행정과,군포시 교통유발부담금 경감 등에 관한 조례,2023-05-01,제8조의3,실질 검토,도로교통법,제2조,내용변경,「도로교통법」 제2조 개정 내용을 반영하여 이 조례 제8조의3을(를) 검토·정비,2023-04-18,2025-12-30
교통행정과,군포시 버스공영차고지 운영 및 관리 조례,2024-10-02,제7조,실질 검토,수질 및 수생태계 보전에 관한 법률,,제명변경,인용한 「수질 및 수생태계 보전에 관한 법률」이(가) 현행 「물환경보전법」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
교통행정과,군포시 버스공영차고지 운영 및 관리 조례,2024-10-02,제7조,실질 검토,소음ㆍ진동규제법,,제명변경,인용한 「소음ㆍ진동규제법」이(가) 현행 「소음ㆍ진동관리법」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
교통행정과,군포시 택시운송사업의 구분 변경에 관한 규칙,2021-09-16,제1조,실질 검토,여객자동차 운수사업법 시행규칙,제33조,내용변경,「여객자동차 운수사업법 시행규칙」 제33조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비,2020-12-29,2023-12-21
교통행정과,군포시 택시운송사업의 구분 변경에 관한 규칙,2021-09-16,제2조,실질 검토,여객자동차 운수사업법 시행규칙,제33조,내용변경,「여객자동차 운수사업법 시행규칙」 제33조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2020-12-29,2023-12-21
교통행정과,군포시 도시교통 정비지역 내의 교통영향평가 대상사업 및 시설규모 적용지역 지정에 관한 조례,2018-10-08,제1조,실질 검토,도시교통정비촉진법,제3조,내용변경,「도시교통정비촉진법」 제3조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비 (덧붙여 「도시교통정비촉진법」처럼 꺽쇠 서식으로 정정),2017-07-26,2025-12-02
교통행정과,군포시 사업용자동차 운송사업자 차고지 보유의무 면제 조례,2011-11-01,제1조,실질 검토,화물자동차 운수사업법 시행규칙,제13조,내용변경,「화물자동차 운수사업법 시행규칙」 제13조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비,원제정,2018-12-31
교통행정과,군포시 어르신 교통비 지원 조례,2025-05-08,제5조,실질 검토,여신전문금융업법,제2조,내용변경,「여신전문금융업법」 제2조 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비,2018-02-21,2025-10-01
교통행정과,군포시 교통약자의 이동편의 증진에 관한 조례 시행규칙,2026-04-22,"제2조, 제5조",확인,경기도 특별교통수단 광역이동서비스 표준지침,,지자체행정규칙,"「경기도 특별교통수단 광역이동서비스 표준지침」는 지자체 자체 행정규칙 — 국가법령정보에 없어 자동 대조 불가. 이 조례 제2조, 제5조 인용을 최신 원문과 수기 대조",—,—
