담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
민원봉사과,군포시 지적재조사위원회 등 구성 및 운영에 관한 조례,2020-09-29,제1조,검토 필요,지적재조사에 관한 특별법,제30조,내용변경,「지적재조사에 관한 특별법」 제30조 개정 내용을 반영하여 이 조례 제1조를 검토·정비,2020-06-09,2024-03-19
민원봉사과,군포시 지적재조사위원회 등 구성 및 운영에 관한 조례,2020-09-29,제1조,검토 필요,지적재조사에 관한 특별법,제32조,내용변경,「지적재조사에 관한 특별법」 제32조 개정 내용을 반영하여 이 조례 제1조를 검토·정비,2013-03-23,2020-12-22
민원봉사과,군포시 지적재조사위원회 등 구성 및 운영에 관한 조례,2020-09-29,제2조,검토 필요,측량ㆍ수로조사 및 지적에 관한 법률,,제명변경,인용한 「측량ㆍ수로조사 및 지적에 관한 법률」이 현행 「공간정보의 구축 및 관리 등에 관한 법률」으로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
민원봉사과,군포시 지적재조사위원회 등 구성 및 운영에 관한 조례,2020-09-29,제3조,검토 필요,지적재조사에 관한 특별법,제12조,내용변경,「지적재조사에 관한 특별법」 제12조 개정 내용을 반영하여 이 조례 제3조를 검토·정비,2019-12-10,2024-03-19
민원봉사과,군포시 지적재조사위원회 등 구성 및 운영에 관한 조례,2020-09-29,제3조,검토 필요,지적재조사에 관한 특별법,제19조,내용변경,「지적재조사에 관한 특별법」 제19조 개정 내용을 반영하여 이 조례 제3조를 검토·정비,2020-06-09,2024-03-19
민원봉사과,군포시 지적재조사위원회 등 구성 및 운영에 관한 조례,2020-09-29,제3조,검토 필요,지적재조사에 관한 특별법,제20조,내용변경,「지적재조사에 관한 특별법」 제20조 개정 내용을 반영하여 이 조례 제3조를 검토·정비,2020-04-07,2024-03-19
민원봉사과,군포시 지적재조사위원회 등 구성 및 운영에 관한 조례,2020-09-29,제11조,검토 필요,지적재조사에 관한 특별법,제13조,내용변경,「지적재조사에 관한 특별법」 제13조 개정 내용을 반영하여 이 조례 제11조를 검토·정비 (덧붙여 약칭 앞 띄어쓰기 정정),2019-12-10,2024-03-19
민원봉사과,군포시 지적재조사위원회 등 구성 및 운영에 관한 조례,2020-09-29,제16조,서식 정정,지적재조사에 관한 특별법,제16조,서식,"(서식만 정비) 「지적재조사에 관한 특별법」 약칭을 앞말과 띄어 정정 (이 조례 제16조) — 내용 변경은 없음, 띄어쓰기만 정비",2020-06-09,2020-06-09
민원봉사과,군포시 지적재조사위원회 등 구성 및 운영에 관한 조례,2020-09-29,제16조,서식 정정,지적재조사에 관한 특별법,제17조,서식,"(서식만 정비) 「지적재조사에 관한 특별법」 약칭을 앞말과 띄어 정정 (이 조례 제16조) — 내용 변경은 없음, 띄어쓰기만 정비",2020-07-08,2026-01-02
민원봉사과,군포시 주소정보 등에 관한 조례,2024-05-15,제16조,검토 필요,도로명주소법,제33조,내용변경,「도로명주소법」 제33조 개정 내용을 반영하여 이 조례 제16조를 검토·정비,2024-02-20,2024-02-20
민원봉사과,군포시 주소정보 등에 관한 조례,2024-05-15,제16조,검토 필요,도로명주소법 시행령,제64조,내용변경,「도로명주소법 시행령」 제64조 개정 내용을 반영하여 이 조례 제16조를 검토·정비,원제정,2025-02-07
민원봉사과,군포시 주소정보 등에 관한 조례,2024-05-15,제17조,확인 필요,도로명주소법 시행령,제75조,미확인,「도로명주소법 시행령」 제75조 소재를 확인(삭제·이동·오기 여부) — 이 조례 제17조,2024-01-19,—
민원봉사과,군포시 민원사무착오 및 지체보상에 관한 조례,2023-07-04,제3조,검토 필요,민원사무처리에 관한 법률 시행령,,제명변경,인용한 「민원사무처리에 관한 법률 시행령」이 현행 「민원 처리에 관한 법률 시행령」으로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
민원봉사과,군포시 민원사무착오 및 지체보상에 관한 조례,2023-07-04,제9조,검토 필요,국가배상법,제2조,내용변경,「국가배상법」 제2조 개정 내용을 반영하여 이 조례 제9조를 검토·정비 (덧붙여 「국가배상법」처럼 꺽쇠 서식으로 정정),2016-05-29,2025-01-07
민원봉사과,군포시 민원실의 설치 및 운영에 관한 조례,2023-03-16,제5조,검토 필요,관공서의 공휴일에 관한 규정,제2조,내용변경,「관공서의 공휴일에 관한 규정」 제2조 개정 내용을 반영하여 이 조례 제5조를 검토·정비,2017-10-17,2026-04-30
민원봉사과,군포시 민원실의 설치 및 운영에 관한 조례,2023-03-16,제5조,검토 필요,관공서의 공휴일에 관한 규정,제3조,내용변경,「관공서의 공휴일에 관한 규정」 제3조 개정 내용을 반영하여 이 조례 제5조를 검토·정비,원제정,2026-04-30
민원봉사과,군포시 주민등록사무의 동 위임 조례,2012-12-05,제1조,검토 필요,주민등록법,제2조,내용변경,「주민등록법」 제2조 개정 내용을 반영하여 이 조례 제1조를 검토·정비 (덧붙여 「주민등록법」처럼 꺽쇠 서식으로 정정),원제정,2022-01-11
