담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
안전총괄과,군포시 재난현장 통합지원본부 설치 및 운영 조례,2019-04-18,제4조,실질 검토,재난 및 안전관리 기본법,제3조,내용변경,「재난 및 안전관리 기본법」 제3조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비,2019-03-26,2025-01-07
안전총괄과,군포시 재난현장 통합지원본부 설치 및 운영 조례,2019-04-18,제10조,실질 검토,재난 및 안전관리 기본법,제34조의5,내용변경,「재난 및 안전관리 기본법」 제34조의5 개정 내용을 반영하여 이 조례 제10조을(를) 검토·정비,2017-07-26,2023-12-26
안전총괄과,군포시 재난현장 통합지원본부 설치 및 운영 조례,2019-04-18,제11조,실질 검토,민방위기본법,제33조,내용변경,「민방위기본법」 제33조 개정 내용을 반영하여 이 조례 제11조을(를) 검토·정비,2017-07-26,2020-12-22
안전총괄과,군포시 재난현장 통합지원본부 설치 및 운영 조례,2019-04-18,제12조,실질 검토,재난 및 안전관리 기본법,제39조,내용변경,「재난 및 안전관리 기본법」 제39조 개정 내용을 반영하여 이 조례 제12조을(를) 검토·정비,2013-08-06,2023-01-17
안전총괄과,군포시 재난현장 통합지원본부 설치 및 운영 조례,2019-04-18,제16조,실질 검토,응급의료에 관한 법률,제18조,내용변경,「응급의료에 관한 법률」 제18조 개정 내용을 반영하여 이 조례 제16조을(를) 검토·정비,원제정,2023-08-08
안전총괄과,군포시 재난현장 통합지원본부 설치 및 운영 조례,2019-04-18,제18조,실질 검토,재난 및 안전관리 기본법,제34조의5,내용변경,「재난 및 안전관리 기본법」 제34조의5 개정 내용을 반영하여 이 조례 제18조을(를) 검토·정비,2017-07-26,2023-12-26
안전총괄과,군포시 재난현장 통합지원본부 설치 및 운영 조례,2019-04-18,제20조,실질 검토,재난 및 안전관리 기본법,제37조,내용변경,「재난 및 안전관리 기본법」 제37조 개정 내용을 반영하여 이 조례 제20조을(를) 검토·정비,2017-01-17,2023-01-17
안전총괄과,군포시 안전취약계층 이용건물의 화재예방 안전시설 지원 조례,2023-03-16,제1조,실질 검토,재난 및 안전관리 기본법,제4조,내용변경,「재난 및 안전관리 기본법」 제4조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비,2019-12-03,2024-01-16
안전총괄과,군포시 안전취약계층 이용건물의 화재예방 안전시설 지원 조례,2023-03-16,제2조,실질 검토,노인복지법,제31조,내용변경,「노인복지법」 제31조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2017-03-14,2023-10-31
안전총괄과,군포시 안전취약계층 이용건물의 화재예방 안전시설 지원 조례,2023-03-16,제2조,실질 검토,장애인복지법,제58조,내용변경,「장애인복지법」 제58조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2020-12-29,2024-01-02
