담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
자치분권과,군포시 주민자치회 설치 및 운영 조례,2026-01-07,제1조,검토 필요,지방자치분권 및 지역균형발전에 관한 특별법,,제명변경,인용한 「지방자치분권 및 지역균형발전에 관한 특별법」이 현행 「지방자치분권 및 균형성장에 관한 특별법」으로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
자치분권과,군포시 주민자치회 설치 및 운영 조례,2026-01-07,제5조,검토 필요,지방자치분권 및 지역균형발전에 관한 특별법,,제명변경,인용한 「지방자치분권 및 지역균형발전에 관한 특별법」이 현행 「지방자치분권 및 균형성장에 관한 특별법」으로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
자치분권과,군포시 주민자치회 설치 및 운영 조례,2026-01-07,제5조,검토 필요,특별법,,제명변경,인용한 「특별법」이 현행 「10ㆍ29이태원참사 피해자 권리보장과 진상규명 및 재발방지를 위한 특별법」으로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
자치분권과,군포시 주민자치회 설치 및 운영 조례,2026-01-07,제19조,검토 필요,특별법,,제명변경,인용한 「특별법」이 현행 「10ㆍ29이태원참사 피해자 권리보장과 진상규명 및 재발방지를 위한 특별법」으로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
자치분권과,군포시 자율방범대 및 범죄피해자 지원에 관한 조례,2024-05-15,제2조,검토 필요,자율방범대법,,제명변경,인용한 「자율방범대법」이 현행 「자율방범대 설치 및 운영에 관한 법률」으로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
자치분권과,군포시 자율방범대 및 범죄피해자 지원에 관한 조례,2024-05-15,제10조,검토 필요,자율방범대법,,제명변경,인용한 「자율방범대법」이 현행 「자율방범대 설치 및 운영에 관한 법률」으로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
자치분권과,군포시 민주화운동 기념에 관한 조례,2020-09-29,제2조,검토 필요,민주화운동기념사업회법,제2조,내용변경,「민주화운동기념사업회법」 제2조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,2013-05-22,2023-08-16
자치분권과,군포시 사회적경제 육성 지원에 관한 조례,2021-09-30,제2조,검토 필요,도시재생 활성화 및 지원에 관한 특별법,제2조,내용변경,「도시재생 활성화 및 지원에 관한 특별법」 제2조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,2021-07-20,2025-08-14
자치분권과,군포시 재난현장 통합자원봉사지원단 구성 및 운영 등에 관한 조례,2020-09-29,제4조,서식 정정,재해구호법,제2조,서식,"(서식만 정비) ""재해구호법 제2조""를 ""「재해구호법」 제2조""로 정정 — 내용 변경은 없음 (이 조례 제4조)",2016-01-07,2016-01-07
자치분권과,군포시 재난현장 통합자원봉사지원단 구성 및 운영 등에 관한 조례,2020-09-29,제7조,검토 필요,재해구호법,제4조의2,내용변경,「재해구호법」 제4조의2 개정 내용을 반영하여 이 조례 제7조를 검토·정비,2016-01-07,2024-01-30
자치분권과,군포시 자원봉사활동 지원 조례 시행규칙,2021-09-30,제10조,확인 필요,자원봉사센터 운영규정,,법령미해결,"「자원봉사센터 운영규정」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제10조 인용 정비",—,—
