담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
보건행정과,군포시 보건소 지역보건의료사업의 업무대행에 관한 조례,2018-10-08,제1조,검토 필요,지역보건법,제30조,내용변경,「지역보건법」 제30조 개정 내용을 반영하여 이 조례 제1조를 검토·정비,원제정,2023-03-28
보건행정과,군포시 보건소 지역보건의료사업의 업무대행에 관한 조례,2018-10-08,제1조,검토 필요,지역보건법 시행령,제23조,내용변경,「지역보건법 시행령」 제23조 개정 내용을 반영하여 이 조례 제1조를 검토·정비,원제정,2023-09-26
보건행정과,군포시 보건소 지역보건의료사업의 업무대행에 관한 조례,2018-10-08,제2조,검토 필요,의료법,,제명변경,인용한 「의료법」이 현행 「공공보건의료에 관한 법률」으로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
보건행정과,군포시 보건소 지역보건의료사업의 업무대행에 관한 조례,2018-10-08,제2조,검토 필요,지역보건법 시행령,제23조,내용변경,「지역보건법 시행령」 제23조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,원제정,2023-09-26
보건행정과,군포시 헌혈 권장 조례,2020-09-29,제1조,검토 필요,혈액관리법 시행령,제2조,내용변경,「혈액관리법 시행령」 제2조 개정 내용을 반영하여 이 조례 제1조를 검토·정비,원제정,2025-12-30
보건행정과,군포시 헌혈 권장 조례,2020-09-29,제2조,검토 필요,혈액관리법,제4조,내용변경,「혈액관리법」 제4조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,2019-12-03,2023-06-22
보건행정과,군포시 헌혈 권장 조례,2020-09-29,제2조,검토 필요,혈액관리법 시행령,제2조,내용변경,「혈액관리법 시행령」 제2조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,원제정,2025-12-30
보건행정과,군포시 헌혈 권장 조례,2020-09-29,제7조,검토 필요,혈액관리법,제4조의4,내용변경,「혈액관리법」 제4조의4 개정 내용을 반영하여 이 조례 제7조를 검토·정비,2019-12-03,2023-06-22
보건행정과,군포시 시민건강관리 기본 조례,2018-10-08,제5조,검토 필요,지역보건법,제7조,내용변경,「지역보건법」 제7조 개정 내용을 반영하여 이 조례 제5조를 검토·정비,원제정,2023-03-28
보건행정과,군포시 시민건강관리 기본 조례,2018-10-08,제7조,검토 필요,국민건강증진법,제6조,내용변경,「국민건강증진법」 제6조 개정 내용을 반영하여 이 조례 제7조를 검토·정비 (덧붙여 「국민건강증진법」처럼 꺽쇠 서식으로 정정),2010-01-18,2019-12-03
