담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
여성가족과,군포시 보육 조례,2021-07-01,제2조,검토 필요,영유아보육법,제6조,내용변경,「영유아보육법」 제6조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2020-12-29,2024-01-09
여성가족과,군포시 보육 조례,2021-07-01,제12조,검토 필요,영유아보육법 시행령,제14조,내용변경,「영유아보육법 시행령」 제14조 개정 내용을 반영하여 이 조례 제12조을(를) 검토·정비,2017-06-20,2026-03-24
여성가족과,군포시 보육 조례,2021-07-01,제13조,검토 필요,영유아보육법 시행규칙,제39조의3,내용변경,「영유아보육법 시행규칙」 제39조의3 개정 내용을 반영하여 이 조례 제13조을(를) 검토·정비,2018-02-28,2022-06-22
여성가족과,군포시 보육 조례,2021-07-01,제14조,검토 필요,영유아보육법 시행령,제24조,내용변경,「영유아보육법 시행령」 제24조 개정 내용을 반영하여 이 조례 제14조을(를) 검토·정비,2013-12-04,2024-08-06
여성가족과,군포시 보육 조례,2021-07-01,제15조,검토 필요,주택법,제2조,,「주택법」 제2조 변경 사항을 검토하여 이 조례 제15조 정비,2020-08-18,2023-12-26
여성가족과,군포시 보육 조례,2021-07-01,제15조,확인 필요,주택법,제35조,,「주택법」 제35조 소재를 확인(삭제·이동·오기 여부) — 이 조례 제15조,—,2026-08-04
여성가족과,군포시 보육 조례,2021-07-01,제16조,검토 필요,영유아보육법,제24조,내용변경,「영유아보육법」 제24조 개정 내용을 반영하여 이 조례 제16조을(를) 검토·정비,2020-12-29,2023-12-26
여성가족과,군포시 보육 조례,2021-07-01,제16조,검토 필요,영유아보육법 시행규칙,제24조,내용변경,「영유아보육법 시행규칙」 제24조 개정 내용을 반영하여 이 조례 제16조을(를) 검토·정비,2012-08-03,2024-06-27
여성가족과,군포시 보육 조례,2021-07-01,제19조,검토 필요,영유아보육법 시행규칙,제25조,내용변경,「영유아보육법 시행규칙」 제25조 개정 내용을 반영하여 이 조례 제19조을(를) 검토·정비,2021-03-30,2024-06-27
여성가족과,군포시 보육 조례,2021-07-01,제23조,검토 필요,영유아보육법 시행령,제24조,내용변경,「영유아보육법 시행령」 제24조 개정 내용을 반영하여 이 조례 제23조을(를) 검토·정비,2013-12-04,2024-08-06
여성가족과,군포시 보육 조례,2021-07-01,제24조,검토 필요,영유아보육법 시행규칙,제35조의9,내용변경,「영유아보육법 시행규칙」 제35조의9 개정 내용을 반영하여 이 조례 제24조을(를) 검토·정비,원제정,2024-06-27
여성가족과,군포시 가족센터 설치 및 운영 조례,2023-05-01,제1조,검토 필요,건강가정기본법,제35조,내용변경,「건강가정기본법」 제35조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비,2020-05-19,2025-10-01
여성가족과,군포시 가족센터 설치 및 운영 조례,2023-05-01,제1조,검토 필요,다문화가족지원법,제12조,내용변경,「다문화가족지원법」 제12조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비,2020-05-19,2025-10-01
여성가족과,군포시 가족센터 설치 및 운영 조례,2023-05-01,제7조,검토 필요,다문화가족지원법 시행규칙,제3조,내용변경,「다문화가족지원법 시행규칙」 제3조 개정 내용을 반영하여 이 조례 제7조을(를) 검토·정비,2012-08-16,2025-10-01
여성가족과,군포시 가족센터 설치 및 운영 조례,2023-05-01,제8조,검토 필요,건강가정기본법,제35조,내용변경,「건강가정기본법」 제35조 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비,2020-05-19,2025-10-01
여성가족과,군포시 가족센터 설치 및 운영 조례,2023-05-01,제8조,검토 필요,건강가정기본법 시행규칙,제6조,내용변경,「건강가정기본법 시행규칙」 제6조 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비,2016-06-07,2025-10-23
여성가족과,군포시 디지털 성범죄 예방 및 피해자 보호ㆍ지원 조례,2023-07-04,제2조,검토 필요,성폭력범죄의 처벌 등에 관한 특례법,제14조의2,내용변경,「성폭력범죄의 처벌 등에 관한 특례법」 제14조의2 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2020-05-19,2024-10-16
여성가족과,군포시 디지털 성범죄 예방 및 피해자 보호ㆍ지원 조례,2023-07-04,제2조,검토 필요,성폭력범죄의 처벌 등에 관한 특례법,제14조의3,내용변경,「성폭력범죄의 처벌 등에 관한 특례법」 제14조의3 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,원제정,2024-10-16
여성가족과,군포시 디지털 성범죄 예방 및 피해자 보호ㆍ지원 조례,2023-07-04,제2조,검토 필요,아동ㆍ청소년의 성보호에 관한 법률,제11조,내용변경,「아동ㆍ청소년의 성보호에 관한 법률」 제11조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2023-04-11,2025-04-22
여성가족과,군포시 디지털 성범죄 예방 및 피해자 보호ㆍ지원 조례,2023-07-04,제2조,검토 필요,아동ㆍ청소년의 성보호에 관한 법률,제15조의2,내용변경,「아동ㆍ청소년의 성보호에 관한 법률」 제15조의2 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,원제정,2025-04-22
여성가족과,군포시 아이돌봄 지원 조례,2023-12-12,제2조,검토 필요,아이돌봄 지원법,제7조,내용변경,「아이돌봄 지원법」 제7조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2022-12-27,2025-10-01
