담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
하수과,군포시 물의 재이용 촉진 및 지원에 관한 조례,2022-08-12,제2조,검토 필요,물의 재이용 촉진 및 지원에 관한 법률,제6조,내용변경,「물의 재이용 촉진 및 지원에 관한 법률」 제6조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,2022-01-11,2025-10-01
하수과,군포시 물의 재이용 촉진 및 지원에 관한 조례,2022-08-12,제3조,검토 필요,물의 재이용 촉진 및 지원에 관한 법률 시행규칙,제4조,내용변경,「물의 재이용 촉진 및 지원에 관한 법률 시행규칙」 제4조 개정 내용을 반영하여 이 조례 제3조를 검토·정비,2020-02-24,2024-07-24
하수과,군포시 물의 재이용 촉진 및 지원에 관한 조례,2022-08-12,제3조,검토 필요,물의 재이용 촉진 및 지원에 관한 법률,제8조,내용변경,「물의 재이용 촉진 및 지원에 관한 법률」 제8조 개정 내용을 반영하여 이 조례 제3조를 검토·정비,2020-05-26,2025-10-01
하수과,군포시 물의 재이용 촉진 및 지원에 관한 조례,2022-08-12,제4조,검토 필요,물의 재이용 촉진 및 지원에 관한 법률 시행규칙,제7조,내용변경,「물의 재이용 촉진 및 지원에 관한 법률 시행규칙」 제7조 개정 내용을 반영하여 이 조례 제4조를 검토·정비,2020-02-24,2024-07-24
하수과,군포시 물의 재이용 촉진 및 지원에 관한 조례,2022-08-12,제4조,검토 필요,물의 재이용 촉진 및 지원에 관한 법률,제9조,내용변경,「물의 재이용 촉진 및 지원에 관한 법률」 제9조 개정 내용을 반영하여 이 조례 제4조를 검토·정비,2020-05-26,2025-10-01
하수과,군포시 물의 재이용 촉진 및 지원에 관한 조례,2022-08-12,제5조,검토 필요,물의 재이용 촉진 및 지원에 관한 법률,제21조,내용변경,「물의 재이용 촉진 및 지원에 관한 법률」 제21조 개정 내용을 반영하여 이 조례 제5조를 검토·정비,원제정,2026-06-09
하수과,군포시 물의 재이용 촉진 및 지원에 관한 조례,2022-08-12,제6조,검토 필요,물의 재이용 촉진 및 지원에 관한 법률,제8조,내용변경,「물의 재이용 촉진 및 지원에 관한 법률」 제8조 개정 내용을 반영하여 이 조례 제6조를 검토·정비,2020-05-26,2025-10-01
하수과,군포시 물의 재이용 촉진 및 지원에 관한 조례,2022-08-12,제6조,검토 필요,물의 재이용 촉진 및 지원에 관한 법률,제9조,내용변경,「물의 재이용 촉진 및 지원에 관한 법률」 제9조 개정 내용을 반영하여 이 조례 제6조를 검토·정비,2020-05-26,2025-10-01
하수과,군포시 하수도 사용 조례,2024-01-08,제12조,검토 필요,건축법,제22조,내용변경,「건축법」 제22조 개정 내용을 반영하여 이 조례 제12조를 검토·정비,2020-03-31,2025-08-26
하수과,군포시 하수도 사용 조례,2024-01-08,제12조,검토 필요,건축법,제22조,내용변경,「건축법」 제22조 개정 내용을 반영하여 이 조례 제12조를 검토·정비,2020-03-31,2025-08-26
하수과,군포시 하수도 사용 조례,2024-01-08,제12조,검토 필요,하수도법 시행규칙,제23조,내용변경,「하수도법 시행규칙」 제23조 개정 내용을 반영하여 이 조례 제12조를 검토·정비,2022-01-06,2025-10-01
하수과,군포시 하수도 사용 조례,2024-01-08,제14조,검토 필요,물환경보전법,제32조,내용변경,「물환경보전법」 제32조 개정 내용을 반영하여 이 조례 제14조를 검토·정비,2021-04-13,2025-10-01
하수과,군포시 하수도 사용 조례,2024-01-08,제17조,검토 필요,물환경보전법,제38조의2,내용변경,「물환경보전법」 제38조의2 개정 내용을 반영하여 이 조례 제17조를 검토·정비,2019-11-26,2025-10-01
하수과,군포시 하수도 사용 조례,2024-01-08,제19조,검토 필요,하수도법 시행령,제24조,내용변경,「하수도법 시행령」 제24조 개정 내용을 반영하여 이 조례 제19조를 검토·정비,2022-01-04,2025-10-01
하수과,군포시 가축사육 제한지역 지정에 관한 조례,2017-09-29,제2조,검토 필요,가축분뇨의 관리 및 이용에 관한 법률,제8조,내용변경,「가축분뇨의 관리 및 이용에 관한 법률」 제8조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,2015-12-01,2025-10-01
하수과,군포시 가축사육 제한지역 지정에 관한 조례,2017-09-29,제2조의2,검토 필요,행정절차법,제46조,내용변경,「행정절차법」 제46조 개정 내용을 반영하여 이 조례 제2조의2를 검토·정비,원제정,2022-01-11
하수과,군포시 가축사육 제한지역 지정에 관한 조례,2017-09-29,제2조의2,검토 필요,가축분뇨의 관리 및 이용에 관한 법률,제8조,내용변경,「가축분뇨의 관리 및 이용에 관한 법률」 제8조 개정 내용을 반영하여 이 조례 제2조의2를 검토·정비,2015-12-01,2025-10-01
하수과,군포시 가축사육 제한지역 지정에 관한 조례,2017-09-29,제2조의2,검토 필요,가축분뇨의 관리 및 이용에 관한 법률,제8조,내용변경,「가축분뇨의 관리 및 이용에 관한 법률」 제8조 개정 내용을 반영하여 이 조례 제2조의2를 검토·정비,2015-12-01,2025-10-01
하수과,군포시 공중화장실 등의 설치 및 관리 조례,2024-01-08,제3조,검토 필요,광진흥법,,제명변경,인용한 「광진흥법」이 현행 「관광진흥법」으로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
하수과,군포시 공중화장실 등의 설치 및 관리 조례,2024-01-08,제3조,서식 정정,관광진흥법,제2조,서식,"(서식만 정비) ""관광진흥법 제2조""를 ""「관광진흥법」 제2조""로 정정 — 내용 변경은 없음 (이 조례 제3조)",2023-08-08,2025-04-08
하수과,군포시 공중화장실 등의 설치 및 관리 조례,2024-01-08,제3조,서식 정정,관광진흥법,제2조,서식,"(서식만 정비) ""관광진흥법 제2조""를 ""「관광진흥법」 제2조""로 정정 — 내용 변경은 없음 (이 조례 제3조)",2023-08-08,2025-04-08
하수과,군포시 공중화장실 등의 설치 및 관리 조례,2024-01-08,제3조,서식 정정,관광진흥법,제2조,서식,"(서식만 정비) ""관광진흥법 제2조""를 ""「관광진흥법」 제2조""로 정정 — 내용 변경은 없음 (이 조례 제3조)",2023-08-08,2025-04-08
하수과,군포시 지방공기업 하수도사업회계 규칙,2021-04-26,제7조,검토 필요,법인세법시행령,제76조,내용변경,「법인세법시행령」 제76조 개정 내용을 반영하여 이 조례 제7조를 검토·정비 (덧붙여 「법인세법시행령」처럼 꺽쇠 서식으로 정정),2014-02-21,2025-12-30

※ 자동 분석 초안 — 누락 및 오류가 있을 수 있음. 정비 여부는 담당자가 조례 원문과 현행 법령을 직접 확인해 최종 판단하시기 바랍니다.
