담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
생태공원녹지과,군포시 주민참여형 어린이놀이터 조성 및 운영에 관한 조례,2020-09-29,제2조,검토 필요,어린이놀이시설 안전관리법,제2조,내용변경,「어린이놀이시설 안전관리법」 제2조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,2017-07-26,2026-02-27
생태공원녹지과,군포시 주민참여형 어린이놀이터 조성 및 운영에 관한 조례,2020-09-29,제2조,검토 필요,도시공원 및 녹지 등에 관한 법률,제2조,내용변경,「도시공원 및 녹지 등에 관한 법률」 제2조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,2020-06-09,2020-06-09
생태공원녹지과,군포시 주민참여형 어린이놀이터 조성 및 운영에 관한 조례,2020-09-29,제2조,검토 필요,도시공원 및 녹지 등에 관한 법률,제15조,내용변경,「도시공원 및 녹지 등에 관한 법률」 제15조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,2020-02-04,2021-01-12
생태공원녹지과,군포시 초막골생태공원 운영 및 관리 조례,2023-12-12,제17조,검토 필요,장애인복지법,제32조,내용변경,「장애인복지법」 제32조 개정 내용을 반영하여 이 조례 제17조를 검토·정비,2017-12-19,2025-04-22
생태공원녹지과,군포시 초막골생태공원 운영 및 관리 조례,2023-12-12,제17조,검토 필요,한부모가족지원법 시행규칙,제3조,내용변경,「한부모가족지원법 시행규칙」 제3조 개정 내용을 반영하여 이 조례 제17조를 검토·정비,2015-12-14,2025-10-01
생태공원녹지과,군포시 초막골생태공원 운영 및 관리 조례,2023-12-12,제17조,검토 필요,대기환경보전법,제58조,내용변경,「대기환경보전법」 제58조 개정 내용을 반영하여 이 조례 제17조를 검토·정비,2022-12-27,2025-10-01
생태공원녹지과,군포시 산사태취약지역지정위원회 설치 및 운영에 관한 조례,2018-03-13,제1조,검토 필요,산림보호법,제45조,내용변경,「산림보호법」 제45조 개정 내용을 반영하여 이 조례 제1조를 검토·정비,2018-01-18,2026-02-01
생태공원녹지과,군포시 산사태취약지역지정위원회 설치 및 운영에 관한 조례,2018-03-13,제1조,검토 필요,산림보호법 시행령,제32조의7,내용변경,「산림보호법 시행령」 제32조의7 개정 내용을 반영하여 이 조례 제1조를 검토·정비,2018-01-18,2026-02-01
생태공원녹지과,군포시 도시공원 및 녹지 등에 관한 조례,2020-09-29,제6조,확인 필요,지적법,,법령미해결,"「지적법」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제6조 인용 정비",—,—
생태공원녹지과,군포시 도시공원 및 녹지 등에 관한 조례,2020-09-29,제12조,검토 필요,도시공원 및 녹지 등에 관한 법률,제2조,내용변경,「도시공원 및 녹지 등에 관한 법률」 제2조 개정 내용을 반영하여 이 조례 제12조를 검토·정비,2020-06-09,2020-06-09
생태공원녹지과,군포시 도시숲 등의 조성 및 관리에 관한 조례,2025-10-10,제4조의4,확인 필요,가로수 조성 및 관리규정,,법령미해결,"「가로수 조성 및 관리규정」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제4조의4 인용 정비",—,—
생태공원녹지과,군포시 도시숲 등의 조성 및 관리에 관한 조례,2025-10-10,제5조,검토 필요,산림조합법,제46조,내용변경,「산림조합법」 제46조 개정 내용을 반영하여 이 조례 제5조를 검토·정비,2020-03-24,2026-03-17
생태공원녹지과,군포시 모두의놀이터 설치 및 관리에 관한 조례,2024-03-19,제4조,검토 필요,어린이놀이시설 안전관리법,제2조,내용변경,「어린이놀이시설 안전관리법」 제2조 개정 내용을 반영하여 이 조례 제4조를 검토·정비,2020-12-22,2026-02-27
