담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
도시계획과,군포시 도시계획 조례,2025-10-10,제40조,검토 필요,군사시설보호법,,제명변경,인용한 「군사시설보호법」이(가) 현행 「군사기지 및 군사시설 보호법」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
도시계획과,군포시 도시계획 조례,2025-10-10,제40조,검토 필요,전기설비기준,,제명변경,인용한 「전기설비기준」이(가) 현행 「방송통신설비의 기술기준에 관한 규정」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
도시계획과,군포시 도시계획 조례,2025-10-10,제68조,확인 필요,지방계약직공무원 규정,,법령미해결,"「지방계약직공무원 규정」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제68조 인용 정비",—,—
도시계획과,군포시 도시계획 조례,2025-10-10,,확인 필요,관광진흥법 시행령 시행규칙,,법령미해결,"「관광진흥법 시행령 시행규칙」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례의 해당 조문 인용 정비",—,—
도시계획과,군포시 공공디자인 진흥 조례,2022-08-12,제2조,검토 필요,공공기관의 운영에 관한 법률,제4조,내용변경,「공공기관의 운영에 관한 법률」 제4조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비,2020-06-09,2025-10-01
도시계획과,군포시 공공디자인 진흥 조례,2022-08-12,제6조,검토 필요,공공디자인의 진흥에 관한 법률,제6조,내용변경,「공공디자인의 진흥에 관한 법률」 제6조 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비,원제정,2023-08-08
