담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시,당시법령본,현행조문
의회사무과,군포시의회 공인 조례,2022-04-25,제1조,검토 필요,행정 효율과 협업 촉진에 관한 규정,,제명변경,인용한 「행정 효율과 협업 촉진에 관한 규정」이 현행 「행정업무의 운영 및 혁신에 관한 규정」으로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
의회사무과,군포시의회 공인 조례,2022-04-25,제13조,검토 필요,행정업무의 효율적 운영에 관한 규정,,제명변경,인용한 「행정업무의 효율적 운영에 관한 규정」이 현행 「행정업무의 운영 및 혁신에 관한 규정」으로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
의회사무과,군포시의회 공인 조례,2022-04-25,제13조,검토 필요,행정업무의 효율적 운영에 관한 규정 시행규칙,,제명변경,인용한 「행정업무의 효율적 운영에 관한 규정 시행규칙」이 현행 「행정업무의 운영 및 혁신에 관한 규정 시행규칙」으로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
의회사무과,군포시의회 지방공무원 근무 규칙,2022-01-13,제4조,검토 필요,공무원 여비 규정,제18조,내용변경,「공무원 여비 규정」 제18조 개정 내용을 반영하여 이 조례 제4조를 검토·정비,2021-11-30,2024-07-02
의회사무과,군포시의회 지방공무원 근무 규칙,2022-01-13,제6조,검토 필요,공무원 여비 규정,제18조,내용변경,「공무원 여비 규정」 제18조 개정 내용을 반영하여 이 조례 제6조를 검토·정비,2021-11-30,2024-07-02
의회사무과,군포시의회 공무원 행동강령 규칙,2025-01-07,제5조의4,검토 필요,공공기관의 운영에 관한 법률,제4조,내용변경,「공공기관의 운영에 관한 법률」 제4조 개정 내용을 반영하여 이 조례 제5조의4를 검토·정비,2020-06-09,2025-10-01
의회사무과,군포시의회 의원 행동강령 조례,2025-01-07,제10조의3,검토 필요,공공기관의 운영에 관한 법률,제4조,내용변경,「공공기관의 운영에 관한 법률」 제4조 개정 내용을 반영하여 이 조례 제10조의3를 검토·정비,2020-06-09,2025-10-01
의회사무과,군포시의회 인사청문회 조례,2024-07-09,제4조,검토 필요,지방공기업법,제49조,내용변경,「지방공기업법」 제49조 개정 내용을 반영하여 이 조례 제4조를 검토·정비,2017-07-26,2025-04-01
의회사무과,군포시의회 정책지원관 운영 및 관리에 관한 조례,2025-12-10,제4조,검토 필요,지방공무원법,제61조,내용변경,「지방공무원법」 제61조 개정 내용을 반영하여 이 조례 제4조를 검토·정비,2024-12-31,2026-04-21
의회사무과,군포시의회 지방공무원 명예퇴직수당 등 지급에 관한 규칙,2022-01-13,제2조,검토 필요,지방공무원 명예퇴직수당 등 지급 규정,제3조,내용변경,「지방공무원 명예퇴직수당 등 지급 규정」 제3조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,2021-11-30,2024-01-02
의회사무과,군포시의회 지방공무원 인사 규칙,2026-04-22,제3조,검토 필요,지방공무원 임용령,제21조의2,내용변경,「지방공무원 임용령」 제21조의2 개정 내용을 반영하여 이 조례 제3조를 검토·정비,2021-11-30,2026-06-30
의회사무과,군포시의회 행정사무감사 및 조사에 관한 조례,2022-12-14,제6조,검토 필요,지방자치단체 출자ㆍ출연 기관의 운영에 관한 법률,제2조,내용변경,「지방자치단체 출자ㆍ출연 기관의 운영에 관한 법률」 제2조 개정 내용을 반영하여 이 조례 제6조를 검토·정비,2020-06-09,2025-10-01
의회사무과,군포시의회 행정사무감사 및 조사에 관한 조례,2022-12-14,제11조,서식 정정,형사소송법,제148조,서식,"(서식만 정비) ""형사소송법 제148조""를 ""「형사소송법」 제148조""로 정정 — 내용 변경은 없음 (이 조례 제11조)",2022-09-10,2026-06-24
의회사무과,군포시의회 행정사무감사 및 조사에 관한 조례,2022-12-14,제11조,서식 정정,형사소송법,제149조,서식,"(서식만 정비) ""형사소송법 제149조""를 ""「형사소송법」 제149조""로 정정 — 내용 변경은 없음 (이 조례 제11조)",1997-12-13,1997-12-13
의회사무과,군포시의회 행정사무감사 및 조사에 관한 조례,2022-12-14,제13조,서식 정정,형사소송법,제157조,서식,"(서식만 정비) ""형사소송법 제157조""를 ""「형사소송법」 제157조""로 정정 — 내용 변경은 없음 (이 조례 제13조)",2022-09-10,2026-06-24
의회사무과,군포시의회 회의 규칙,2025-07-11,제1조,서식 정정,지방자치법,제83조,서식,"(서식만 정비) ""지방자치법 제83조""를 ""「지방자치법」 제83조""로 정정 — 내용 변경은 없음 (이 조례 제1조)",2024-05-17,2026-06-02
의회사무과,군포시의회 회의 규칙,2025-07-11,제43조,서식 정정,지방자치법,제74조,서식,"(서식만 정비) ""지방자치법 제74조""를 ""「지방자치법」 제74조""로 정정 — 내용 변경은 없음 (이 조례 제43조)",2024-05-17,2026-06-02
의회사무과,군포시의회 회의 규칙,2025-07-11,제56조의2,검토 필요,주민조례발안법,,제명변경,인용한 「주민조례발안법」이 현행 「주민조례발안에 관한 법률」으로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인],—,—
의회사무과,군포시의회에 출석하여 답변할 수 있는 관계공무원 등의 범위에 관한 조례,2022-04-25,제2조,검토 필요,지방자치단체 출자ㆍ출연 기관의 운영에 관한 법률,제2조,내용변경,「지방자치단체 출자ㆍ출연 기관의 운영에 관한 법률」 제2조 개정 내용을 반영하여 이 조례 제2조를 검토·정비,2020-06-09,2025-10-01
의회사무과,군포시의회 업무추진비 사용 및 공개 등에 관한 규칙,2020-12-31,"제3조, 제5조",확인 필요,지방자치단체 세출예산 집행기준,,법령미해결,"「지방자치단체 세출예산 집행기준」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제3조, 제5조 인용 정비",—,—
의회사무과,군포시의회 의원연구단체 구성 및 운영 조례,2026-07-01,제14조,확인 필요,지방의회 의정활동 정보공개 세부 지침,,법령미해결,"「지방의회 의정활동 정보공개 세부 지침」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제14조 인용 정비",—,—
의회사무과,군포시의회 지방공무원 복무 조례,2025-10-10,제18조,확인 필요,한국방송통신대학교 설치령,,법령미해결,"「한국방송통신대학교 설치령」 자동 매칭 실패 — 국가법령정보센터(법령·행정규칙)에서 현행 여부·명칭 확인. 중앙부처 행정규칙(훈령·예규·규정)이거나 제명변경·폐지일 수 있고, 지자체 자체 규칙이면 자치법규정보시스템(ELIS)에서 확인 — 이 조례 제18조 인용 정비",—,—
의회사무과,군포시의회 위원회 조례,2023-09-27,제1조,서식 정정,지방자치법,제64조,서식,"(서식만 정비) ""지방자치법 제64조""를 ""「지방자치법」 제64조""로 정정 — 내용 변경은 없음 (이 조례 제1조)",2023-09-22,2026-06-02
의회사무과,군포시의회 위원회 조례,2023-09-27,제1조,서식 정정,지방자치법,제71조,서식,"(서식만 정비) ""지방자치법 제71조""를 ""「지방자치법」 제71조""로 정정 — 내용 변경은 없음 (이 조례 제1조)",2023-09-22,2026-06-02
의회사무과,군포시의회 청원심사 규칙,2023-03-16,제1조,서식 정정,지방자치법시행령,제59조,서식,"(서식만 정비) ""지방자치법시행령 제59조""를 ""「지방자치법시행령」 제59조""로 정정 — 내용 변경은 없음 (이 조례 제1조)",2022-01-13,2026-01-02

※ 자동 분석 초안 — 누락·오탐이 있을 수 있음. 정비 여부는 담당자가 조례 원문과 현행 법령을 직접 확인해 최종 판단하시기 바랍니다.
