담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시
건설과,군포시 도로점용허가 및 점용료 등 부과ㆍ징수조례,2024-03-19,제12조,검토 필요,도로법,제117조제2항,내용변경,「도로법」 제117조 개정 내용을 반영하여 이 조례 제12조을(를) 검토·정비
건설과,군포시 소하천 점용료 등 징수 조례,2022-01-13,제1조,검토 필요,소하천정비법,제22조,내용변경,「소하천정비법」 제22조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
건설과,군포시 소하천 점용료 등 징수 조례,2022-01-13,제2조,검토 필요,소하천정비법,제22조,내용변경,「소하천정비법」 제22조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
건설과,군포시 소하천 점용료 등 징수 조례,2022-01-13,제2조,검토 필요,소하천정비법,제14조,내용변경,「소하천정비법」 제14조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
건설과,군포시 소하천 점용료 등 징수 조례,2022-01-13,제2조,검토 필요,소하천정비법,제22조제2항,내용변경,「소하천정비법」 제22조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
건설과,군포시 소하천 점용료 등 징수 조례,2022-01-13,제3조,검토 필요,소하천정비법,제22조제2항,내용변경,「소하천정비법」 제22조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비
건축과,군포시 건축 조례,2025-03-17,제22조의2,검토 필요,건축사법,제19조의3,내용변경,「건축사법」 제19조의3 개정 내용을 반영하여 이 조례 제22조의2을(를) 검토·정비
건축과,군포시 건축 조례,2025-03-17,제29조,검토 필요,엔지니어링산업 진흥법,제31조,내용변경,「엔지니어링산업 진흥법」 제31조 개정 내용을 반영하여 이 조례 제29조을(를) 검토·정비
건축과,군포시 건축 조례,2025-03-17,제17조,검토 필요,건축법,제22조,내용변경,「건축법」 제22조 개정 내용을 반영하여 이 조례 제17조을(를) 검토·정비
건축과,군포시 건축 조례,2025-03-17,제20조,검토 필요,건축법,제22조제2항,내용변경,「건축법」 제22조 개정 내용을 반영하여 이 조례 제20조을(를) 검토·정비
건축과,군포시 건축 조례,2025-03-17,제23조,검토 필요,건축법,제11조,내용변경,「건축법」 제11조 개정 내용을 반영하여 이 조례 제23조을(를) 검토·정비
건축과,군포시 건축 조례,2025-03-17,제23조,검토 필요,건축법,제22조,내용변경,「건축법」 제22조 개정 내용을 반영하여 이 조례 제23조을(를) 검토·정비
건축과,군포시 건축 조례,2025-03-17,제5조,검토 필요,건축법 시행령,제6조의2,내용변경,「건축법 시행령」 제6조의2 개정 내용을 반영하여 이 조례 제5조을(를) 검토·정비
건축과,군포시 건축 조례 시행규칙,2016-05-16,제3조,검토 필요,지방공무원법,제31조,내용변경,「지방공무원법」 제31조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비
건축과,군포시 건축물관리 조례,2022-08-12,제4조,검토 필요,의료법,,제명변경,인용한 「의료법」이(가) 현행 「공공보건의료에 관한 법률」(으)로 제명변경(개칭·통폐합)됨 — 법령 자체가 바뀌었으니 인용 법령명을 현행화하고 관련 조문을 전면 검토. (조문번호·내용이 재편됐을 수 있어 개별 조문 비교는 생략) [개칭 아니면 인용 오기 확인]
건축과,군포시 건축물관리 조례,2022-08-12,제4조,검토 필요,다중이용업소의 안전관리에 관한 특별법 시행령,제2조,내용변경,「다중이용업소의 안전관리에 관한 특별법 시행령」 제2조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비
건축과,군포시 건축물관리 조례,2022-08-12,제4조,검토 필요,영화 및 비디오물의 진흥에 관한 법률,제2조제10호,내용변경,「영화 및 비디오물의 진흥에 관한 법률」 제2조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비
건축과,군포시 건축물관리 조례,2022-08-12,제6조,검토 필요,도시 및 주거환경정비법,제2조,내용변경,「도시 및 주거환경정비법」 제2조 개정 내용을 반영하여 이 조례 제6조을(를) 검토·정비
건축과,군포시 건축물관리 조례,2022-08-12,제8조,검토 필요,도시 및 주거환경정비법,제2조,내용변경,「도시 및 주거환경정비법」 제2조 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비
건축과,군포시 건축물관리 조례,2022-08-12,제10조,검토 필요,건축법,제87조의2제1항,내용변경,「건축법」 제87조의2 개정 내용을 반영하여 이 조례 제10조을(를) 검토·정비
건축과,군포시 건축물관리 조례,2022-08-12,제10조,검토 필요,건축물관리법,제11조,내용변경,「건축물관리법」 제11조 개정 내용을 반영하여 이 조례 제10조을(를) 검토·정비
건축과,군포시 녹색건축물 조성 지원 조례,2017-07-11,제2조,검토 필요,녹색건축물 조성 지원법,제2조제1호,내용변경,「녹색건축물 조성 지원법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
건축과,군포시 녹색건축물 조성 지원 조례,2017-07-11,제2조,검토 필요,신에너지 및 재생에너지 개발·이용·보급 촉진법,제2조제2호,내용변경,「신에너지 및 재생에너지 개발·이용·보급 촉진법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
건축과,군포시 녹색건축물 조성 지원 조례,2017-07-11,제9조,검토 필요,녹색건축물 조성 지원법,제16조,내용변경,「녹색건축물 조성 지원법」 제16조 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비
건축과,군포시 녹색건축물 조성 지원 조례,2017-07-11,제9조,검토 필요,녹색건축물 조성 지원법,제17조,내용변경,「녹색건축물 조성 지원법」 제17조 개정 내용을 반영하여 이 조례 제9조을(를) 검토·정비
건축과,군포시 소규모 공동주택 관리에 관한 지원 조례,2022-08-12,제2조,검토 필요,건축법,제11조,내용변경,「건축법」 제11조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
건축과,군포시 소규모 공동주택 관리에 관한 지원 조례,2022-08-12,제4조,검토 필요,건축법,제11조,내용변경,「건축법」 제11조 개정 내용을 반영하여 이 조례 제4조을(를) 검토·정비
건축과,군포시 시민의 안전한 생활환경 지원을 위한 공사장 관리 조례,2021-04-26,제2조,검토 필요,건축법,제2조,내용변경,「건축법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
건축과,군포시 시민의 안전한 생활환경 지원을 위한 공사장 관리 조례,2021-04-26,제2조,검토 필요,도로법,제2조,내용변경,「도로법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
건축과,군포시 옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 조례,2025-12-10,제15조,검토 필요,민원 처리에 관한 법률 시행령,제21조,내용변경,「민원 처리에 관한 법률 시행령」 제21조 개정 내용을 반영하여 이 조례 제15조을(를) 검토·정비
건축과,군포시 옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 조례,2025-12-10,제21조,검토 필요,지방자치단체를 당사자로 하는 계약에 관한 법률 시행령,제25조,내용변경,「지방자치단체를 당사자로 하는 계약에 관한 법률 시행령」 제25조 개정 내용을 반영하여 이 조례 제21조을(를) 검토·정비
건축과,군포시 옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 조례,2025-12-10,제11조,검토 필요,옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 법률 시행령,제28조제3항,내용변경,「옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 법률 시행령」 제28조 개정 내용을 반영하여 이 조례 제11조을(를) 검토·정비
건축과,군포시 친환경 소재 현수막 사용 촉진 및 재활용 활성화에 관한 조례,2024-07-09,제3조,검토 필요,환경정책기본법,제4조,내용변경,「환경정책기본법」 제4조 개정 내용을 반영하여 이 조례 제3조을(를) 검토·정비
교육체육과,군포시 방사능으로부터 안전한 식재료 공급 지원 조례,2014-05-20,제2조,검토 필요,초·중등교육법,제2조,내용변경,「초·중등교육법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
교육체육과,군포시 방사능으로부터 안전한 식재료 공급 지원 조례,2014-05-20,제2조,검토 필요,영유아보육법,제2조,내용변경,「영유아보육법」 제2조 개정 내용을 반영하여 이 조례 제2조을(를) 검토·정비
교육체육과,군포시 안양ㆍ군포ㆍ의왕ㆍ과천 공동급식지원센터 설립 및 운영 조례,2019-03-15,제8조,검토 필요,지방공무원법,제31조,내용변경,「지방공무원법」 제31조 개정 내용을 반영하여 이 조례 제8조을(를) 검토·정비
교육체육과,군포시 장애인 평생교육 지원 조례,2023-05-01,제1조,검토 필요,평생교육법,제5조제2항,내용변경,「평생교육법」 제5조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
교육체육과,군포시 장애인 평생교육 지원 조례,2023-05-01,제1조,검토 필요,평생교육법,제5조제3항,내용변경,「평생교육법」 제5조 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
교육체육과,군포시 장애인 평생교육 지원 조례,2023-05-01,제1조,검토 필요,평생교육법,제20조의2,내용변경,「평생교육법」 제20조의2 개정 내용을 반영하여 이 조례 제1조을(를) 검토·정비
