담당과,조례,조례시행일,조례조문,등급,법령,상위법조문,변경유형,행동지시
위생자원과,군포시 재활용품 수집인 지원에 관한 조례,2025-03-17,제5조,서식 정정,국민기초생활보장법,제2조제10호,서식,"(서식만 정비) ""국민기초생활보장법 제2조""를 ""「국민기초생활보장법」 제2조""로 정정 — 내용 변경은 없음 (이 조례 제5조)"
위생자원과,군포시 폐기물 관리에 관한 조례,2023-05-01,제14조,서식 정정,폐기물관리법,제8조제1항,서식,"(서식만 정비) ""폐기물관리법 제8조""를 ""「폐기물관리법」 제8조""로 정정 — 내용 변경은 없음 (이 조례 제14조)"
위생자원과,군포시 폐기물 관리에 관한 조례,2023-05-01,제14조,서식 정정,폐기물관리법,제8조제2항,서식,"(서식만 정비) ""폐기물관리법 제8조""를 ""「폐기물관리법」 제8조""로 정정 — 내용 변경은 없음 (이 조례 제14조)"
위생자원과,군포시 폐기물 관리에 관한 조례,2023-05-01,제18조,서식 정정,국가표준기본법,제23조,서식,"(서식만 정비) ""국가표준기본법 제23조""를 ""「국가표준기본법」 제23조""로 정정 — 내용 변경은 없음 (이 조례 제18조)"
의회사무과,군포시의회 위원회 조례,2023-09-27,제1조,서식 정정,지방자치법,제64조,서식,"(서식만 정비) ""지방자치법 제64조""를 ""「지방자치법」 제64조""로 정정 — 내용 변경은 없음 (이 조례 제1조)"
의회사무과,군포시의회 위원회 조례,2023-09-27,제1조,서식 정정,지방자치법,제71조,서식,"(서식만 정비) ""지방자치법 제71조""를 ""「지방자치법」 제71조""로 정정 — 내용 변경은 없음 (이 조례 제1조)"
의회사무과,군포시의회 청원심사 규칙,2023-03-16,제1조,서식 정정,지방자치법시행령,제59조,서식,"(서식만 정비) ""지방자치법시행령 제59조""를 ""「지방자치법시행령」 제59조""로 정정 — 내용 변경은 없음 (이 조례 제1조)"
의회사무과,군포시의회 행정사무감사 및 조사에 관한 조례,2022-12-14,제11조,서식 정정,형사소송법,제148조,서식,"(서식만 정비) ""형사소송법 제148조""를 ""「형사소송법」 제148조""로 정정 — 내용 변경은 없음 (이 조례 제11조)"
의회사무과,군포시의회 행정사무감사 및 조사에 관한 조례,2022-12-14,제11조,서식 정정,형사소송법,제149조,서식,"(서식만 정비) ""형사소송법 제149조""를 ""「형사소송법」 제149조""로 정정 — 내용 변경은 없음 (이 조례 제11조)"
의회사무과,군포시의회 행정사무감사 및 조사에 관한 조례,2022-12-14,제13조,서식 정정,형사소송법,제157조,서식,"(서식만 정비) ""형사소송법 제157조""를 ""「형사소송법」 제157조""로 정정 — 내용 변경은 없음 (이 조례 제13조)"
의회사무과,군포시의회 회의 규칙,2025-07-11,제1조,서식 정정,지방자치법,제83조,서식,"(서식만 정비) ""지방자치법 제83조""를 ""「지방자치법」 제83조""로 정정 — 내용 변경은 없음 (이 조례 제1조)"
의회사무과,군포시의회 회의 규칙,2025-07-11,제43조,서식 정정,지방자치법,제74조,서식,"(서식만 정비) ""지방자치법 제74조""를 ""「지방자치법」 제74조""로 정정 — 내용 변경은 없음 (이 조례 제43조)"
자치분권과,군포시 재난현장 통합자원봉사지원단 구성 및 운영 등에 관한 조례,2020-09-29,제4조,서식 정정,재해구호법,제2조제4호,서식,"(서식만 정비) ""재해구호법 제2조""를 ""「재해구호법」 제2조""로 정정 — 내용 변경은 없음 (이 조례 제4조)"
차량관리과,군포시 교통사업 특별회계 설치 조례,2023-09-27,제1조,서식 정정,도시교통정비촉진법,제49조,서식,"(서식만 정비) ""도시교통정비촉진법 제49조""를 ""「도시교통정비촉진법」 제49조""로 정정 — 내용 변경은 없음 (이 조례 제1조)"
차량관리과,군포시 교통사업 특별회계 설치 조례,2023-09-27,제1조,서식 정정,주차장법,제21조의2,서식,"(서식만 정비) ""주차장법 제21조의2""를 ""「주차장법」 제21조의2""로 정정 — 내용 변경은 없음 (이 조례 제1조)"
차량관리과,군포시 교통사업 특별회계 설치 조례,2023-09-27,제2조,서식 정정,주차장법,제9조제1항,서식,"(서식만 정비) ""주차장법 제9조""를 ""「주차장법」 제9조""로 정정 — 내용 변경은 없음 (이 조례 제2조)"
